Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.2_g_1.0/GeneralMLP_LR0.001_BS1024_20260501_142815_s1
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=1.0)
Applying HT Init: alpha=1.2, g=1.0, seed=1
Epoch 0 | Train Acc: 0.1035 | Test Acc: 0.0969
Epoch 1 | Train Acc: 0.6387 | Test Acc: 0.8174
Epoch 2 | Train Acc: 0.8377 | Test Acc: 0.8673
Epoch 3 | Train Acc: 0.8749 | Test Acc: 0.8872
Epoch 4 | Train Acc: 0.8944 | Test Acc: 0.8563
Epoch 5 | Train Acc: 0.8972 | Test Acc: 0.9097
Epoch 6 | Train Acc: 0.9126 | Test Acc: 0.9157
Epoch 7 | Train Acc: 0.9194 | Test Acc: 0.9205
Epoch 8 | Train Acc: 0.9254 | Test Acc: 0.9262
Epoch 9 | Train Acc: 0.9291 | Test Acc: 0.9273
Epoch 10 | Train Acc: 0.9333 | Test Acc: 0.9298
Epoch 11 | Train Acc: 0.9366 | Test Acc: 0.9324
Epoch 12 | Train Acc: 0.9397 | Test Acc: 0.9330
Epoch 13 | Train Acc: 0.9427 | Test Acc: 0.9364
Epoch 14 | Train Acc: 0.9454 | Test Acc: 0.9361
Epoch 15 | Train Acc: 0.9472 | Test Acc: 0.9376
Epoch 16 | Train Acc: 0.9493 | Test Acc: 0.9386
Epoch 17 | Train Acc: 0.9514 | Test Acc: 0.9390
Epoch 18 | Train Acc: 0.9538 | Test Acc: 0.9376
Epoch 19 | Train Acc: 0.9532 | Test Acc: 0.9433
Epoch 20 | Train Acc: 0.9552 | Test Acc: 0.9431
Epoch 21 | Train Acc: 0.9576 | Test Acc: 0.9446
Epoch 22 | Train Acc: 0.9595 | Test Acc: 0.9453
Epoch 23 | Train Acc: 0.9602 | Test Acc: 0.9462
Epoch 24 | Train Acc: 0.9613 | Test Acc: 0.9459
Epoch 25 | Train Acc: 0.9628 | Test Acc: 0.9482
Epoch 26 | Train Acc: 0.9642 | Test Acc: 0.9475
Epoch 27 | Train Acc: 0.9650 | Test Acc: 0.9470
Epoch 28 | Train Acc: 0.9664 | Test Acc: 0.9481
Epoch 29 | Train Acc: 0.9669 | Test Acc: 0.9480
Epoch 30 | Train Acc: 0.9676 | Test Acc: 0.9469
Epoch 31 | Train Acc: 0.9684 | Test Acc: 0.9494
Epoch 32 | Train Acc: 0.9694 | Test Acc: 0.9507
Epoch 33 | Train Acc: 0.9703 | Test Acc: 0.9508
Epoch 34 | Train Acc: 0.9716 | Test Acc: 0.9514
Epoch 35 | Train Acc: 0.9715 | Test Acc: 0.9520
Epoch 36 | Train Acc: 0.9719 | Test Acc: 0.9520
Epoch 37 | Train Acc: 0.9728 | Test Acc: 0.9521
Epoch 38 | Train Acc: 0.9732 | Test Acc: 0.9527
Epoch 39 | Train Acc: 0.9742 | Test Acc: 0.9529
Epoch 40 | Train Acc: 0.9746 | Test Acc: 0.9525
Epoch 41 | Train Acc: 0.9750 | Test Acc: 0.9528
Epoch 42 | Train Acc: 0.9757 | Test Acc: 0.9541
Epoch 43 | Train Acc: 0.9766 | Test Acc: 0.9542
Epoch 44 | Train Acc: 0.9769 | Test Acc: 0.9545
Epoch 45 | Train Acc: 0.9774 | Test Acc: 0.9554
Epoch 46 | Train Acc: 0.9775 | Test Acc: 0.9543
Epoch 47 | Train Acc: 0.9779 | Test Acc: 0.9558
Epoch 48 | Train Acc: 0.9785 | Test Acc: 0.9544
Epoch 49 | Train Acc: 0.9792 | Test Acc: 0.9554
Epoch 50 | Train Acc: 0.9795 | Test Acc: 0.9559
Epoch 51 | Train Acc: 0.9800 | Test Acc: 0.9559
Epoch 52 | Train Acc: 0.9802 | Test Acc: 0.9553
Epoch 53 | Train Acc: 0.9807 | Test Acc: 0.9569
Epoch 54 | Train Acc: 0.9812 | Test Acc: 0.9569
Epoch 55 | Train Acc: 0.9813 | Test Acc: 0.9568
Epoch 56 | Train Acc: 0.9821 | Test Acc: 0.9585
Epoch 57 | Train Acc: 0.9823 | Test Acc: 0.9577
Epoch 58 | Train Acc: 0.9829 | Test Acc: 0.9583
Epoch 59 | Train Acc: 0.9830 | Test Acc: 0.9584
Epoch 60 | Train Acc: 0.9834 | Test Acc: 0.9588
Epoch 61 | Train Acc: 0.9837 | Test Acc: 0.9583
Epoch 62 | Train Acc: 0.9840 | Test Acc: 0.9583
Epoch 63 | Train Acc: 0.9843 | Test Acc: 0.9583
Epoch 64 | Train Acc: 0.9848 | Test Acc: 0.9583
Epoch 65 | Train Acc: 0.9852 | Test Acc: 0.9581
Epoch 66 | Train Acc: 0.9854 | Test Acc: 0.9583
Epoch 67 | Train Acc: 0.9857 | Test Acc: 0.9585
Epoch 68 | Train Acc: 0.9860 | Test Acc: 0.9584
Epoch 69 | Train Acc: 0.9863 | Test Acc: 0.9579
Epoch 70 | Train Acc: 0.9864 | Test Acc: 0.9584
Epoch 71 | Train Acc: 0.9868 | Test Acc: 0.9578
Epoch 72 | Train Acc: 0.9871 | Test Acc: 0.9576
Epoch 73 | Train Acc: 0.9870 | Test Acc: 0.9584
Epoch 74 | Train Acc: 0.9875 | Test Acc: 0.9592
Epoch 75 | Train Acc: 0.9877 | Test Acc: 0.9581
