epoch,train_loss,train_acc,test_loss,test_acc
0,2.5910476021847484,0.09746666666666666,2.603684163093567,0.0967
1,1.4704999489299322,0.5504333333333333,0.9908217489719391,0.7465
2,0.830807005955001,0.7871,0.7104713082313537,0.8175
3,0.6462037522914046,0.8357,0.5889420509338379,0.8496
4,0.5528875104451584,0.8582833333333333,0.518954285979271,0.8674
5,0.49376670889935254,0.8719833333333333,0.4709489166736603,0.8795
6,0.4530840096837383,0.8812666666666666,0.4373322635889053,0.887
7,0.42199363445831556,0.88855,0.4093582183122635,0.892
8,0.3970289594036038,0.89445,0.38745608776807783,0.8975
9,0.3769171409687753,0.8986666666666666,0.37002803683280944,0.9014
10,0.3603845349812912,0.9023333333333333,0.35644619166851044,0.9043
11,0.3466102910243859,0.9054166666666666,0.34576604664325716,0.905
12,0.3376108332205627,0.90745,0.3332404032349586,0.9082
13,0.32503082944174944,0.9105333333333333,0.32302191853523254,0.9102
14,0.3140370699308686,0.9127666666666666,0.31369812190532687,0.9123
15,0.304386387942201,0.9155666666666666,0.30620184242725373,0.9136
16,0.2963844517530021,0.9173166666666667,0.2986846789717674,0.9152
17,0.28946550720829073,0.9190166666666667,0.2919323369860649,0.9161
18,0.28229519143953163,0.92105,0.2864460304379463,0.9186
19,0.27572631633887856,0.9228833333333334,0.2804188847541809,0.9194
20,0.2692908205218234,0.9241833333333334,0.2762375190854073,0.9211
21,0.26419329340175046,0.9256333333333333,0.2721803203225136,0.9223
22,0.25904286160307416,0.92675,0.2673151895403862,0.9241
23,0.2544752169968718,0.9283166666666667,0.2659527391195297,0.9235
24,0.25068154729018777,0.9295166666666667,0.25979500263929367,0.9261
25,0.24449643795773135,0.9309833333333334,0.2560581147670746,0.9266
26,0.2400157439001536,0.9319166666666666,0.2522977888584137,0.9276
27,0.23603873788300206,0.9331166666666667,0.24871461540460588,0.929
28,0.2324456456354109,0.9342166666666667,0.2458084538578987,0.9303
29,0.22858702631319983,0.9354666666666667,0.2431985095143318,0.9302
30,0.22759489386768664,0.9357833333333333,0.2414010524749756,0.9302
31,0.22381257101640864,0.9371166666666667,0.23876328617334366,0.931
32,0.2193692614466457,0.93795,0.23555231541395188,0.9323
33,0.21599722085362774,0.9390833333333334,0.23290109187364577,0.932
34,0.21198847889900208,0.9402,0.22980825677514077,0.9333
35,0.20925478081581955,0.9413166666666667,0.22757336720824242,0.9347
36,0.2063799369133125,0.9418333333333333,0.22573603168129922,0.9343
37,0.20478541871248665,0.94215,0.22469736635684967,0.9345
38,0.2017787624213655,0.9432666666666667,0.22189489752054214,0.9359
39,0.1986614410149849,0.944,0.21909208670258523,0.9361
40,0.195940860752332,0.9448333333333333,0.21750474572181702,0.9363
41,0.1934680840221502,0.9459166666666666,0.21485132575035096,0.9381
42,0.1905587790376049,0.94665,0.21319340765476227,0.9383
43,0.18807960036447494,0.9474833333333333,0.21139970868825914,0.9388
44,0.18595748255818578,0.9481666666666667,0.2097216248512268,0.9393
45,0.18353198367660328,0.9485666666666667,0.208009535074234,0.9393
46,0.1814601466817371,0.94925,0.20673284009099008,0.9396
47,0.18026549002881778,0.9495666666666667,0.20559488236904144,0.9391
48,0.17769449772471088,0.9504,0.2037038952112198,0.9406
49,0.1755756447880955,0.95075,0.20222008153796195,0.9408
50,0.17326752689935393,0.9512666666666667,0.20092757642269135,0.9418
51,0.17201673201585221,0.9519333333333333,0.20037742108106613,0.9411
52,0.170659298361358,0.95245,0.1985101208090782,0.9419
53,0.16860474772372488,0.9533166666666667,0.19726150184869767,0.9422
54,0.1664020664105981,0.95385,0.19547271579504014,0.943
55,0.16471379338684727,0.9543666666666667,0.1943800114095211,0.9431
56,0.16287930890665217,0.9549,0.19313764572143555,0.944
57,0.1604855305562585,0.9554333333333334,0.19147608652710915,0.9436
58,0.1593224757303626,0.9557333333333333,0.19082927852869033,0.9446
59,0.15847583721249792,0.95585,0.18885670974850655,0.9443
60,0.15633861733190083,0.9563166666666667,0.18698534965515137,0.9451
61,0.15385534121828565,0.9571166666666666,0.18590534776449202,0.9456
62,0.1526102625717551,0.95745,0.18454198762774468,0.9461
63,0.15069439350548436,0.9581,0.18358327448368073,0.9462
64,0.1492443219837496,0.9584333333333334,0.18303260654211045,0.9459
65,0.1476718045897403,0.9589166666666666,0.18175246343016624,0.9463
66,0.1458409249277438,0.95975,0.1805690348148346,0.9465
67,0.14457376768528404,0.9601333333333333,0.1798319362103939,0.9471
68,0.14344719254364402,0.9602833333333334,0.1790121778845787,0.947
69,0.1418084354471352,0.96085,0.17763192802667618,0.9476
70,0.1401523782287614,0.9612,0.17675453498959542,0.9478
71,0.13899092906612462,0.9617833333333333,0.17546896412968635,0.9485
72,0.13766542506420007,0.9621333333333333,0.1747372530400753,0.9485
73,0.136154256508512,0.96245,0.17373873442411422,0.9483
74,0.13501580387859022,0.9627166666666667,0.17301665917038916,0.9485
75,0.13353936525724702,0.9632333333333334,0.17216792330145836,0.9493
76,0.1325654186687227,0.9635833333333333,0.17082834541797637,0.9491
77,0.13165066378601528,0.9640833333333333,0.1700862504541874,0.9502
78,0.12996658733335592,0.96465,0.16915949657559395,0.9498
79,0.12897965514053733,0.9647166666666667,0.16857832446694374,0.9499
80,0.1278573284714909,0.9651,0.16758883967995644,0.9506
81,0.12654490061735701,0.9656833333333333,0.16683261319994927,0.9506
82,0.12556701696525185,0.9658666666666667,0.16593703776597976,0.9503
83,0.1252096068050902,0.96585,0.16495771259069442,0.9513
84,0.12367875735133381,0.9661166666666666,0.1640585906803608,0.9516
85,0.12222427053976867,0.96665,0.16327672377228736,0.9512
86,0.12138114844338369,0.96705,0.16272639408707618,0.9521
87,0.1201014719524626,0.9673,0.16199610158801078,0.9519
88,0.11930459965083559,0.9675666666666667,0.1610773801803589,0.9524
89,0.11831944776793658,0.9678166666666667,0.16046222150325776,0.9526
90,0.1171672322739989,0.9681666666666666,0.16076378151774406,0.953
91,0.11648109643641165,0.9684833333333334,0.15979913920164107,0.9526
92,0.11537583336486655,0.9688833333333333,0.15919043570756913,0.9528
93,0.11458377679020672,0.9692166666666666,0.15822066068649293,0.9528
94,0.11357990147198661,0.9696666666666667,0.15769242197275163,0.9531
95,0.11239659609430927,0.9698,0.1568913869559765,0.9532
96,0.11123525199748702,0.9702833333333334,0.15586971044540404,0.9534
97,0.11095210960355856,0.9703333333333334,0.1552177995443344,0.9538
98,0.10995114809375699,0.9706666666666667,0.15468740090727806,0.9535
99,0.1088747128339137,0.9706166666666667,0.1540831558406353,0.954
100,0.10838290897466368,0.9706,0.15276798605918884,0.9541
101,0.10728821461483584,0.9713833333333334,0.15268308743834497,0.9543
102,0.10625161697803917,0.9713666666666667,0.1519465737044811,0.9548
103,0.10522241271653418,0.9718166666666667,0.15135074332356452,0.9551
104,0.10451633975667468,0.9721666666666666,0.1510593995451927,0.9546
