epoch,train_loss,train_acc,test_loss,test_acc
10,0.5175955853482553,0.8808666666666667,0.4880834144504764,0.8898
20,0.3707825479858211,0.9050833333333334,0.357136371392238,0.9113
30,0.3113129847784286,0.9171833333333334,0.30498090320372884,0.9223
40,0.276115917829054,0.9255333333333333,0.2734293398223346,0.928
50,0.25122071672350105,0.9317,0.2518035921067754,0.9325
60,0.23196667157955517,0.93655,0.2354472267288196,0.9361
70,0.21642639535640093,0.9408,0.22209015755053563,0.939
80,0.20335467498121992,0.94455,0.21119674757311616,0.9412
90,0.19204123226055966,0.9471666666666667,0.20197010752332362,0.943
100,0.18225829697239881,0.95,0.1941986778939638,0.945
110,0.17351009251911248,0.9527,0.1871226134391714,0.947
120,0.1657674108614037,0.9546333333333333,0.180951678594928,0.9479
130,0.1587624013312717,0.9566,0.17539325209122292,0.9499
140,0.15233583209801838,0.9585666666666667,0.17057847937781223,0.9513
150,0.14649204781124078,0.9601166666666666,0.16634737028257002,0.9517
