epoch,train_loss,train_acc,test_loss,test_acc
10,0.10783089838945853,0.97145,0.29292839530949727,0.9296
20,0.047488415073643105,0.9901333333333333,0.2619774469109606,0.9379
30,0.02728037784563135,0.9956833333333334,0.25118445174450266,0.9413
40,0.017952101518596605,0.9978333333333333,0.24534863642788243,0.9448
50,0.012954033650100422,0.9989,0.24089594223518868,0.9464
60,0.009883630174353147,0.99935,0.2381289024491753,0.9474
70,0.007971995394986702,0.9995833333333334,0.2360911642678695,0.9475
80,0.006626666240048593,0.9997333333333334,0.23486304783064849,0.9476
90,0.0056492127562517615,0.9998333333333334,0.23374225564383536,0.948
100,0.004912101765171186,0.9999166666666667,0.23297324544076714,0.9487
110,0.004337201976447678,0.99995,0.23209210274327705,0.9493
120,0.003883914557098945,0.9999666666666667,0.23123128283558902,0.9496
130,0.00351829869029269,0.9999833333333333,0.23060868090921954,0.95
140,0.0032165556848704467,1.0,0.2303402757044083,0.95
150,0.002960890178818867,1.0,0.2299966030178335,0.9504
