epoch,train_loss,train_acc,test_loss,test_acc
0,9.011331121800309,0.11326666666666667,8.928821182250976,0.114
1,3.9518263420816195,0.39998333333333336,2.287782108783722,0.5759
2,1.8857541892488123,0.6339833333333333,1.6352439641952514,0.6758
3,1.3832254894709184,0.71225,1.3442414343357085,0.7237
4,1.1325935984061937,0.7549666666666667,1.1904500365257262,0.7514
5,0.9325484552625882,0.7895166666666666,1.1186936974525452,0.7731
6,0.8121318059452509,0.811,1.0330175638198853,0.7836
7,0.7638487078375735,0.8207833333333333,0.9973434209823608,0.7962
8,0.6654506012544794,0.84,0.9404960930347442,0.8036
9,0.5673457798311266,0.8572666666666666,0.9146603465080261,0.8129
10,0.49034984182503266,0.8736833333333334,0.8647216796875,0.8202
11,0.44235117152585823,0.88385,0.8604929953813553,0.8205
12,0.3901079352629387,0.89445,0.855579623579979,0.8245
13,0.37622485423492175,0.89685,0.8388828873634339,0.8293
14,0.3283347896600174,0.90945,0.8046622604131699,0.8314
15,0.27735189159037704,0.9239666666666667,0.801285570859909,0.832
16,0.2771224983162799,0.9227333333333333,0.7871477007865906,0.8341
17,0.24550451085729114,0.93165,0.7826656520366668,0.8385
18,0.20658028908705306,0.9451666666666667,0.7848982781171798,0.8382
19,0.18153888694310594,0.9526166666666667,0.7753736495971679,0.8356
20,0.16241526982541812,0.9589166666666666,0.7748058408498764,0.8382
21,0.14609080161583626,0.9637333333333333,0.7660746723413467,0.8402
22,0.1354568012185016,0.967,0.7609826922416687,0.8404
23,0.1420847899832968,0.9647333333333333,0.7550977945327759,0.8423
24,0.14509982552568793,0.9607333333333333,0.7567123800516129,0.8438
25,0.11272519624839394,0.9735333333333334,0.7468386560678482,0.8436
26,0.10429266032020924,0.97635,0.752001765370369,0.8432
27,0.09652535364789477,0.9783666666666667,0.743187665939331,0.8466
28,0.09020258555725469,0.9807666666666667,0.734062922000885,0.8419
29,0.10408719231264066,0.9741666666666666,0.7388693004846573,0.8441
30,0.08106135551707219,0.9828166666666667,0.7408605307340622,0.8446
31,0.07190900068666975,0.9860666666666666,0.7362057477235794,0.847
32,0.06617311243030985,0.98795,0.7353288680315018,0.8464
33,0.06124679769499827,0.9893666666666666,0.733461445569992,0.8476
34,0.05679200798020524,0.9900666666666667,0.73275808095932,0.8465
35,0.05447218712356131,0.9909666666666667,0.7299413621425629,0.8462
36,0.05030143813435304,0.9919833333333333,0.729830750823021,0.8471
37,0.04843072738435309,0.9922833333333333,0.7308669328689575,0.8472
38,0.049063173580472755,0.9919833333333333,0.7233356535434723,0.8478
39,0.04411263650251647,0.9934,0.7239900916814804,0.8489
40,0.04132948474863828,0.9941,0.7232606470584869,0.8481
41,0.03941031576970876,0.99455,0.7226969838142395,0.849
42,0.037408212989063584,0.9949,0.7216733515262603,0.8494
43,0.035878065247404375,0.9953,0.7217878311872482,0.8488
44,0.0344072216963869,0.9956166666666667,0.7213716715574264,0.8492
45,0.033150562921823085,0.9958333333333333,0.719781631231308,0.8496
46,0.03189471704980074,0.9962166666666666,0.7191027998924255,0.8492
47,0.030951579496011895,0.99655,0.7177505940198898,0.8494
48,0.029832678578667723,0.9967,0.7182601451873779,0.8498
49,0.028818640447521613,0.9968166666666667,0.7166957795619965,0.8498
50,0.027865525303503214,0.997,0.7170381784439087,0.8508
51,0.02701899156732074,0.9971166666666667,0.7165980905294418,0.8498
52,0.026235912058313014,0.9972833333333333,0.7164799094200134,0.8503
53,0.025538897425946543,0.9973,0.7165693014860153,0.851
54,0.0248331655195709,0.9974833333333334,0.7152717143297196,0.8511
55,0.02417049178127515,0.9976833333333334,0.7148028075695038,0.8512
56,0.023589129338703923,0.9978666666666667,0.714102441072464,0.8511
57,0.022817512216456864,0.9979666666666667,0.7135224610567092,0.8516
58,0.02225008194918855,0.9981166666666667,0.7129173040390014,0.8517
59,0.02170059427429559,0.9981666666666666,0.712433934211731,0.8512
