epoch,train_loss,train_acc,test_loss,test_acc
10,0.13479357252497154,0.9647166666666667,0.2758473779776287,0.9453
20,0.06469089288844355,0.98415,0.23135550139188954,0.9552
30,0.04418970550150315,0.9907,0.2169321468748341,0.9603
40,0.03295719830680694,0.9939666666666667,0.2133899099824219,0.9626
50,0.025899165188834103,0.9956333333333334,0.20607286995155974,0.9634
60,0.02099034776772136,0.997,0.20036204072758793,0.9646
70,0.017409637809665535,0.9979666666666667,0.19763420140252838,0.965
80,0.014724462777614467,0.9985833333333334,0.195497197552534,0.9655
90,0.012670506772372737,0.999,0.19374651325014833,0.9664
100,0.01107244177419605,0.9992666666666666,0.19227153934461735,0.9666
110,0.0097593135659152,0.99955,0.19148630761435326,0.9669
120,0.00871889494947279,0.9996666666666667,0.19091674154830648,0.9672
130,0.00785191332810183,0.9997333333333334,0.1904995967976637,0.9677
140,0.007139851185761249,0.9997666666666667,0.19036115411502497,0.9684
150,0.006502027608710391,0.9998666666666667,0.1902216788082195,0.9681
