epoch,train_loss,train_acc,test_loss,test_acc
10,0.16349925863336146,0.9547,0.2071407344988017,0.9407
20,0.08390654480533559,0.9780833333333333,0.171552947849106,0.9528
30,0.05293547618848238,0.9869166666666667,0.167196963593965,0.9538
40,0.03633521848034535,0.9919333333333333,0.16001935879393375,0.9564
50,0.026050064918289245,0.995,0.15992675396750822,0.9569
60,0.019663793522356227,0.9967333333333334,0.16267904863417254,0.9574
70,0.01546449506375343,0.9976166666666667,0.1637128233436946,0.958
80,0.012605560747390268,0.9981666666666666,0.16461937041412392,0.9588
90,0.010504884624492321,0.99865,0.16569288257753353,0.9588
100,0.008904251211664395,0.9990333333333333,0.16611661288417182,0.9592
110,0.007750036681928773,0.99925,0.16846554934473038,0.9589
120,0.006864297654984126,0.9994166666666666,0.16878487934390468,0.9593
130,0.006159003419024167,0.9995166666666667,0.1689477793012504,0.9595
140,0.0055771026671476865,0.9995833333333334,0.17006780140724878,0.9593
150,0.005101066375740055,0.9996,0.17044464732012624,0.9599
