epoch,train_loss,train_acc,test_loss,test_acc
10,1.4662034166827846,0.48068,1.53680613627449,0.4593
20,1.035252293542037,0.62986,1.549898754864836,0.4979
30,0.6630597366538478,0.76084,1.9374242923891962,0.4979
40,0.373054398098628,0.86806,2.760185372715179,0.4912
50,0.2260294889248264,0.92264,3.4756404942216963,0.4982
60,0.168034175913769,0.94314,4.1458721534131815,0.4982
70,0.13238579997361888,0.95608,4.6935011018960235,0.4941
80,0.12340938555069568,0.95984,5.237943100853088,0.505
90,0.120669154341293,0.96238,5.707866467606907,0.4959
100,0.10624836708818397,0.96894,6.203753168209673,0.5023
110,0.1255625384109037,0.9642,6.300683459534812,0.4954
120,0.042227875255456994,0.98696,6.831225265710118,0.4996
130,0.16948897242073774,0.95782,7.142171699018143,0.4883
140,0.05546885070296374,0.9843,7.415600852082712,0.499
150,0.06755770855193587,0.98078,7.6510286483520895,0.4955
