alpha,g,layer,participation_ratio_mean,participation_ratio_median,participation_ratio_sem,displacement_mean,displacement_median,displacement_sem,effective_rank_mean,effective_rank_median,effective_rank_sem,ipr_mean,ipr_median,ipr_sem,hill_alpha_mean,hill_alpha_median,hill_alpha_sem,spectral_entropy_mean,spectral_entropy_median,spectral_entropy_sem,dominance_ratio_mean,dominance_ratio_median,dominance_ratio_sem,participation_ratio_pct_err,displacement_pct_err,effective_rank_pct_err,ipr_pct_err,hill_alpha_pct_err,spectral_entropy_pct_err,dominance_ratio_pct_err
1.0,0.5,classifier.weight,0.4790763735771179,0.43342670798301697,0.13773865683900283,0.08146868422627448,0.04883269965648651,0.025905425699368732,2.2231727123260496,1.8094573020935059,0.7050456717840642,0.8042811751365662,0.9949798583984375,0.11803410377337471,1.7016804218292236,1.2973088026046753,0.4884146181418377,1.0391739711165429,1.0764713287353516,0.38582764307194106,0.4491480827331543,0.3570820689201355,0.13409858245512704,28.750876569126145,31.798016557402516,31.713490718694214,14.675726278603083,28.701900302573602,37.128301304293416,29.856207253320736
1.0,0.5,features.0.weight,0.03809402994811535,0.03712128847837448,0.011839138870015524,0.011992766242474317,0.01217967551201582,0.0027956377156541997,1.7348496675491334,1.754669427871704,0.15406445493499415,0.9999407291412353,0.9999761581420898,3.667204821202988e-05,1.0214383363723756,1.0498510599136353,0.04970088323522449,1.631032657623291,1.6971865892410278,0.28799535078887684,0.16879379451274873,0.1311921328306198,0.034336310923287594,31.078725160190746,23.3110331605814,8.880565147333195,0.0036674221924657877,4.865774219101322,17.657239997176884,20.34216424982035
1.0,0.5,features.2.weight,0.04105393625795841,0.044287580996751785,0.012127473877135692,0.008117951126769185,0.006848540622740984,0.002360573969565747,1.8969139337539673,1.7546110153198242,0.26685737785529495,0.9995303273200988,0.9999468326568604,0.0004031183829551012,0.9994601607322693,1.0056151151657104,0.044056945004172024,1.7747997760772705,1.8570095300674438,0.3293341773478819,0.16154328882694244,0.1281181126832962,0.03734204105738521,29.540343710122922,29.078445197602683,14.067974993846336,0.04033078056129885,4.408074151939488,18.556131333067256,23.115810832221488
1.0,0.5,features.4.weight,0.027004818618297576,0.015561018139123917,0.008993437587454791,0.00723626627586782,0.0064566656947135925,0.0015155012818150989,1.6882322788238526,1.6409591436386108,0.30976558896736794,0.9995404601097106,0.9999830722808838,0.00040631065424947535,0.998345422744751,1.0009140968322754,0.04405128291851572,1.3182436108589173,1.2618852853775024,0.3819096332044382,0.22104595899581908,0.22349821031093597,0.05257365205273406,33.303084588619065,20.943138685611043,18.348517135519618,0.040649745604582954,4.412428996509598,28.971096848753202,23.784036718684575
1.0,0.5,features.6.weight,0.018731108866631985,0.014041350223124027,0.00883497595544623,0.006267755874432623,0.005168994888663292,0.002226144088625248,1.5605238437652589,1.2054753303527832,0.3287184004468904,0.9995440602302551,0.9999992847442627,0.0004070321003516012,0.9451745510101318,0.9803558588027954,0.039760586717363815,1.0280413806438446,0.8135035037994385,0.38982911497163514,0.3220185816287994,0.274509996175766,0.09097456144187738,47.16739419087491,35.517402611453264,21.064618894495897,0.04072177671265809,4.206692475466111,37.91959373537006,28.25133909407331
1.0,1.0,classifier.weight,0.45784574151039126,0.41616109013557434,0.1316826873466521,0.022951955534517766,0.026918035000562668,0.004422911990794647,2.1557197093963625,1.798089623451233,0.6610517705274473,0.8122516512870789,0.9941836595535278,0.11274362464715366,1.5838014602661132,1.2637616395950317,0.4432181261342474,1.0043986704200507,1.0500513315200806,0.375087995064611,0.45970648527145386,0.3655640780925751,0.13449697182095408,28.761365544701352,19.270305678934275,30.665014920355897,13.880381094763205,27.98444989814424,37.34453321286706,29.257140399386454
1.0,1.0,features.0.weight,0.03780207112431526,0.03681819885969162,0.01173665355974891,0.0060676550958305596,0.005591707304120064,0.0015571672335916204,1.7345949172973634,1.7544476985931396,0.15397104539229645,0.9999407291412353,0.9999761581420898,3.667204821202988e-05,1.020506453514099,1.048037052154541,0.04923878933174508,1.6299185276031494,1.6959198713302612,0.28762478952248866,0.16939519792795182,0.13174019753932953,0.03443027861593525,31.047646889907032,25.663410477329883,8.876484293646817,0.0036674221924657877,4.824936595177035,17.646574638638576,20.32541597228709
1.0,1.0,features.2.weight,0.04090822897851467,0.04417690634727478,0.012068944018806515,0.00430134367197752,0.003795596305280924,0.0011573366153968794,1.8965920209884644,1.7544430494308472,0.2667282077449915,0.9995303273200988,0.9999468326568604,0.0004031183829551012,0.9986221313476562,1.0010267496109009,0.04390404541074739,1.7738987684249878,1.8563446998596191,0.3289867057842741,0.16177150160074233,0.12828464806079865,0.037366578373446625,29.502484757150505,26.906397248299857,14.063552139483235,0.04033078056129885,4.396462288643472,18.545968441952038,23.098368998062856
1.0,1.0,features.4.weight,0.026890617236495017,0.015525023452937603,0.008948217004444444,0.00326722648460418,0.003437274368479848,0.0004691313097007931,1.6880654335021972,1.6409282684326172,0.3096833735120392,0.9995408654212952,0.9999830722808838,0.00040590712589983114,0.9968945741653442,1.000939130783081,0.04346882899943432,1.3176035940647126,1.261702537536621,0.38172724367458577,0.22151495963335038,0.2237592190504074,0.052727280123058815,33.27635407453658,14.358701850374715,18.34546027457863,0.04060935775034529,4.360423872888349,28.971326838672667,23.80303353341578
1.0,1.0,features.6.weight,0.018630093801766633,0.013989727012813091,0.008777482432725485,0.0027662022213917224,0.0025388291105628014,0.0007976523254586631,1.5603699445724488,1.2054405212402344,0.3286017812341928,0.9995442032814026,0.9999992847442627,0.00040688970857427376,0.9441450357437133,0.9805216789245605,0.04021490807602661,1.0274932205677032,0.8131913542747498,0.38956268783582354,0.32253322899341585,0.2750200629234314,0.0909521307068305,47.11453697508031,28.83564763596173,21.059222678390654,0.04070752521384207,4.25939940936605,37.91389374039716,28.199305538434054
1.0,1.5,classifier.weight,0.45502815693616866,0.41388288140296936,0.13088996243133955,0.018502696976065637,0.013399592600762844,0.005626047407090882,2.1463702440261843,1.7966645956039429,0.6540073612554598,0.8119930386543274,0.9923186302185059,0.11252786091047358,1.57071133852005,1.2571665048599243,0.4402751618733393,1.0002204287797212,1.0468069314956665,0.37365771358260536,0.4612346261739731,0.366714209318161,0.1346731691575599,28.765244619730375,30.40663431049277,30.470388931066516,13.858229757358508,28.030303918743837,37.357536682036326,29.198408253668823
1.0,1.5,features.0.weight,0.03774004001170397,0.036762114614248276,0.011712363302961723,0.004659778159111738,0.003624449949711561,0.0013751080404227631,1.7345611333847046,1.7544203996658325,0.1539587511133284,0.9999407291412353,0.9999761581420898,3.667204821202988e-05,1.0202359199523925,1.0479707717895508,0.04931234889677034,1.629754638671875,1.6957459449768066,0.2875697357012538,0.16952550709247588,0.13184179365634918,0.03445918083237973,31.03431607208015,29.51016107352395,8.875948396981764,0.0036674221924657877,4.8334260666955755,17.644971143361868,20.32684132517138
1.0,1.5,features.2.weight,0.040863522328436375,0.04414970427751541,0.01205200572862703,0.003004653425887227,0.0035496288910508156,0.0005767787423110357,1.8965322732925416,1.7544223070144653,0.2666962334288607,0.9995303273200988,0.9999468326568604,0.0004031183829551012,0.9982864618301391,1.0008960962295532,0.043862109228194585,1.773711347579956,1.8562445640563965,0.32890768124545694,0.16182889938354492,0.12832488119602203,0.037365042594128844,29.493311006722006,19.19618207350227,14.062309256981601,0.04033078056129885,4.393739763612844,18.54347279754494,23.089227410223735
