alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.16.weight,features.14.weight,0.9998255833614551
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.16.weight,features.2.weight,0.999179867670058
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.16.weight,features.4.weight,0.9992756229640007
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.16.weight,features.6.weight,0.9993572462632976
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.16.weight,features.8.weight,0.9994589893549242
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,classifier.weight,0.9983037415164009
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.0.weight,0.9997458049731963
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.10.weight,0.999678780938348
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.12.weight,0.9995977387541554
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.14.weight,0.9994932132570318
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.16.weight,0.999179867670058
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.4.weight,0.9998382023093609
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.6.weight,0.9997685803882481
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.2.weight,features.8.weight,0.9997275072619709
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,classifier.weight,0.9983878912918854
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.0.weight,0.9996612132018751
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.10.weight,0.9997644296060282
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.12.weight,0.999690381734548
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.14.weight,0.9995853806180918
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.16.weight,0.9992756229640007
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.2.weight,0.9998382023093609
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.6.weight,0.9998729362392736
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.4.weight,features.8.weight,0.9998157554059243
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,classifier.weight,0.9984720396236942
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.0.weight,0.9996188955873861
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.10.weight,0.9998370559550911
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.12.weight,0.9997616917698263
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.14.weight,0.9996604672556475
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.16.weight,0.9993572462632976
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.2.weight,0.9997685803882481
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.4.weight,0.9998729362392736
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.6.weight,features.8.weight,0.9998974503334465
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,classifier.weight,0.9985768900003232
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.0.weight,0.999584419300202
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.10.weight,0.9999174712812744
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.12.weight,0.9998466030640608
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.14.weight,0.9997527212948287
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.16.weight,0.9994589893549242
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.2.weight,0.9997275072619709
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.4.weight,0.9998157554059243
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.6.weight,0.9998974503334465
2.0,3.0,alpha_2.0_g_3.0,1,spearman,features.8.weight,features.8.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.0.weight,0.9986246074425218
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.10.weight,0.9989979086556796
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.12.weight,0.9991238329524164
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.14.weight,0.9993247624547086
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.16.weight,0.999641967387882
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.2.weight,0.9987368144989257
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.4.weight,0.9987963911820216
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.6.weight,0.9988484006880304
2.0,3.0,alpha_2.0_g_3.0,2,spearman,classifier.weight,features.8.weight,0.9989182003677882
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,classifier.weight,0.9986246074425218
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.10.weight,0.9996455100994192
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.12.weight,0.9996020168751846
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.14.weight,0.9995360639228396
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.16.weight,0.9992987209905894
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.2.weight,0.9997693217433834
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.4.weight,0.999700884633569
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.6.weight,0.9996773693439226
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.0.weight,features.8.weight,0.999667665276485
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,classifier.weight,0.9989979086556796
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.0.weight,0.9996455100994192
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.12.weight,0.9999388253878622
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.14.weight,0.9998728223914551
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.16.weight,0.9996604600381845
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.2.weight,0.9997494692437753
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.4.weight,0.9998171518689144
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.6.weight,0.9998719187400795
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.10.weight,features.8.weight,0.9999348234063326
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,classifier.weight,0.9991238329524164
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.0.weight,0.9996020168751846
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.10.weight,0.9999388253878622
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.14.weight,0.9999321700177879
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.16.weight,0.9997466969909681
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.2.weight,0.9997070747441187
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.4.weight,0.9997768455082507
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.6.weight,0.9998273775204091
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.12.weight,features.8.weight,0.9998886410727673
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,classifier.weight,0.9993247624547086
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.0.weight,0.9995360639228396
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.10.weight,0.9998728223914551
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.12.weight,0.9999321700177879
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.16.weight,0.9998654347278725
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.2.weight,0.9996405794664537
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.4.weight,0.9997080668863536
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.6.weight,0.9997587163472893
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.14.weight,features.8.weight,0.9998220226968323
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,classifier.weight,0.999641967387882
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.0.weight,0.9992987209905894
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.10.weight,0.9996604600381845
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.12.weight,0.9997466969909681
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.14.weight,0.9998654347278725
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.2.weight,0.9994081012827384
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.4.weight,0.9994767436720587
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.6.weight,0.9995276482914368
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.16.weight,features.8.weight,0.9995952002821025
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,classifier.weight,0.9987368144989257
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.0.weight,0.9997693217433834
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.10.weight,0.9997494692437753
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.12.weight,0.9997070747441187
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.14.weight,0.9996405794664537
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.16.weight,0.9994081012827384
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.4.weight,0.99985199920681
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.6.weight,0.9997972756774314
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.2.weight,features.8.weight,0.9997749091079086
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,classifier.weight,0.9987963911820216
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.0.weight,0.999700884633569
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.10.weight,0.9998171518689144
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.12.weight,0.9997768455082507
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.14.weight,0.9997080668863536
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.16.weight,0.9994767436720587
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.2.weight,0.99985199920681
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.6.weight,0.9998875686793633
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.4.weight,features.8.weight,0.999847149673358
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,classifier.weight,0.9988484006880304
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.0.weight,0.9996773693439226
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.10.weight,0.9998719187400795
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.12.weight,0.9998273775204091
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.14.weight,0.9997587163472893
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.16.weight,0.9995276482914368
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.2.weight,0.9997972756774314
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.4.weight,0.9998875686793633
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.6.weight,features.8.weight,0.9999131942287357
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,classifier.weight,0.9989182003677882
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.0.weight,0.999667665276485
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.10.weight,0.9999348234063326
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.12.weight,0.9998886410727673
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.14.weight,0.9998220226968323
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.16.weight,0.9995952002821025
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.2.weight,0.9997749091079086
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.4.weight,0.999847149673358
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.6.weight,0.9999131942287357
2.0,3.0,alpha_2.0_g_3.0,2,spearman,features.8.weight,features.8.weight,1.0
