alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.16.weight,features.14.weight,0.9964980062919176
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.16.weight,features.2.weight,0.9754210959617489
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.16.weight,features.4.weight,0.9756778542513038
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.16.weight,features.6.weight,0.9771755880094266
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.16.weight,features.8.weight,0.9797233997236343
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,classifier.weight,0.9458560652139165
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.0.weight,0.9997721008766758
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.10.weight,0.9989358703962417
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.12.weight,0.9966573743356227
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.14.weight,0.9901809063094884
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.16.weight,0.9754210959617489
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.4.weight,0.9998461754809822
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.6.weight,0.999766354024062
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.2.weight,features.8.weight,0.9995818551718632
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,classifier.weight,0.9461773021060201
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.0.weight,0.9996848216272456
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.10.weight,0.9990434139172591
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.12.weight,0.9968088216809876
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.14.weight,0.9903682203684641
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.16.weight,0.9756778542513038
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.2.weight,0.9998461754809822
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.6.weight,0.9998814052752056
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.4.weight,features.8.weight,0.9996884770623253
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,classifier.weight,0.9483271282967409
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.0.weight,0.999591438150207
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.10.weight,0.9993367497535881
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.12.weight,0.9973524458255393
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.14.weight,0.9913351720279402
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.16.weight,0.9771755880094266
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.2.weight,0.999766354024062
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.4.weight,0.9998814052752056
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.6.weight,features.8.weight,0.9998464503433029
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,classifier.weight,0.9521153405601915
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.0.weight,0.9992901850763688
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.10.weight,0.9997278131088041
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.12.weight,0.9981969594062737
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.14.weight,0.9929076494230737
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.16.weight,0.9797233997236343
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.2.weight,0.9995818551718632
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.4.weight,0.9996884770623253
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.6.weight,0.9998464503433029
2.0,3.0,alpha_2.0_g_3.0,1,pearson,features.8.weight,features.8.weight,1.0
