alpha,g,test_acc_mean,test_acc_median,test_acc_sem,test_acc_pct_err
1.0,0.5,0.9705600000000001,0.9701,0.0008003749121505562,0.08246526872635965
1.0,1.0,0.9718600000000001,0.9719,0.0008812491134747451,0.09067654944896848
1.0,1.5,0.9713800000000001,0.9717,0.0004029888335922067,0.041486218945439135
1.0,2.0,0.9688399999999999,0.969,0.0007833262411026358,0.08085197154356094
1.0,2.5,0.96566,0.9661,0.0005904235767650274,0.0611419730303655
1.0,3.0,0.9615199999999999,0.9599,0.0012551493934986294,0.13053804325428794
1.1,0.75,0.97102,0.9713,0.0006437390775772375,0.06629514094222957
1.1,1.25,0.97202,0.9726,0.0006931089380465272,0.07130603671185029
1.1,1.75,0.9688599999999999,0.9691,0.00043197222132910476,0.044585618286347335
1.1,2.25,0.96602,0.9653,0.000705974503788908,0.07308073371036915
1.1,2.75,0.9623200000000001,0.9612,0.0012179490958164083,0.12656383487991604
1.2,0.5,0.9704599999999999,0.9696,0.0009902524930541794,0.10203949601778327
1.2,1.0,0.9725199999999999,0.9727,0.0006319810123729846,0.06498385764539388
1.2,1.5,0.97108,0.9706,0.0006836665854054873,0.07040270476227367
1.2,2.0,0.9676,0.9671,0.0005449770637375536,0.056322557227940634
1.2,2.5,0.96248,0.9624,0.0014742455697745853,0.15317155367120203
1.2,3.0,0.9572200000000001,0.9566,0.001418590850104413,0.14819903993903313
1.3,0.75,0.97224,0.972,0.00036551333764995756,0.037594970135970296
1.3,1.25,0.97208,0.9722,0.0007024243731534333,0.07225993469194235
1.3,1.75,0.96858,0.9678,0.0012451505933018777,0.1285542333417867
1.3,2.25,0.96364,0.9632,0.0009211948762341144,0.09559533396643087
1.3,2.75,0.9555,0.9543,0.0017753872816937744,0.18580714617412605
1.4,0.5,0.9713799999999999,0.971,0.0011006361796706454,0.11330644852381618
1.4,1.0,0.97312,0.9738,0.0006398437309218595,0.06575178096451204
1.4,1.5,0.96996,0.9698,0.0002481934729198086,0.02558801114683168
1.4,2.0,0.9639599999999999,0.9632,0.000933059483634346,0.09679441923257666
1.4,2.5,0.9554600000000001,0.9549,0.0020116162655934144,0.21053903518655037
1.4,3.0,0.94784,0.946,0.0020915544458607813,0.22066534920036937
1.5,0.75,0.97342,0.9741,0.000547174560812172,0.05621155932815969
1.5,1.25,0.9728,0.9728,0.0005612486080161075,0.05769414144902421
1.5,1.75,0.9672599999999999,0.9674,0.0007658981655546537,0.07918224319776004
1.5,2.25,0.9574,0.9581,0.0014060583202698284,0.14686216004489538
1.5,2.75,0.94566,0.9454,0.0019838346705307835,0.20978307959845863
1.6,0.5,0.9712400000000001,0.9714,0.0007138627319029928,0.07350013713428119
