alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.14.weight,0.9996546515795875
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.2.weight,0.9795560156576706
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.4.weight,0.980612178238302
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.6.weight,0.9842586420120953
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.8.weight,0.9891517706658366
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,classifier.weight,0.974124543511555
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.0.weight,0.9994856855036931
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.10.weight,0.9950468420654555
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.12.weight,0.9897332852394503
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.14.weight,0.9844862798066641
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.16.weight,0.9795560156576706
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.4.weight,0.9999628244763806
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.6.weight,0.999657870802916
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.8.weight,0.9984176163870007
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,classifier.weight,0.9753025665596108
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.0.weight,0.9995773934306638
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.10.weight,0.9955922870651743
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.12.weight,0.9905144147141401
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.14.weight,0.9854207774436329
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.16.weight,0.980612178238302
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.2.weight,0.9999628244763806
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.6.weight,0.9997976981628071
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.8.weight,0.9987394402179623
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,classifier.weight,0.9794380131615893
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.0.weight,0.9998550923754295
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.10.weight,0.997249201849732
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.12.weight,0.9930205238604712
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.14.weight,0.9885639285691741
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.16.weight,0.9842586420120953
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.2.weight,0.999657870802916
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.4.weight,0.9997976981628071
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.8.weight,0.9995349488493092
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,classifier.weight,0.9850921075299001
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.0.weight,0.9995025350121696
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.10.weight,0.9990358085024779
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.12.weight,0.9961405818115707
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.14.weight,0.9926738324254673
