init_alpha,init_sigma,epoch,layer,alpha,frobenius
2.0,3.0,4,features.4.weight,8.790979,84.13542
2.0,3.0,4,features.6.weight,8.928984,84.050415
2.0,3.0,4,features.8.weight,8.881363,84.07941
2.0,3.0,4,features.10.weight,9.039728,83.979965
2.0,3.0,4,features.12.weight,8.992455,83.97071
2.0,3.0,4,features.14.weight,9.329798,83.85169
2.0,3.0,4,features.16.weight,9.279429,84.06612
2.0,3.0,4,classifier.weight,8.228646,28.119015
2.0,3.0,125,features.0.weight,9.049899,84.04208
2.0,3.0,125,features.2.weight,8.93813,83.98189
2.0,3.0,125,features.4.weight,8.789319,84.13812
2.0,3.0,125,features.6.weight,8.922007,84.05339
2.0,3.0,125,features.8.weight,8.876828,84.083046
2.0,3.0,125,features.10.weight,9.035879,83.983406
2.0,3.0,125,features.12.weight,8.98897,83.97463
2.0,3.0,125,features.14.weight,9.326893,83.854
2.0,3.0,125,features.16.weight,9.274545,84.06902
2.0,3.0,125,classifier.weight,8.210245,28.123074
2.0,3.0,0,features.0.weight,9.047747,84.03945
2.0,3.0,0,features.2.weight,8.953266,83.97888
2.0,3.0,0,features.4.weight,8.798778,84.13436
2.0,3.0,0,features.6.weight,8.9322815,84.049805
2.0,3.0,0,features.8.weight,8.881613,84.079544
2.0,3.0,0,features.10.weight,9.040144,83.98037
2.0,3.0,0,features.12.weight,8.990767,83.97187
2.0,3.0,0,features.14.weight,9.328937,83.85226
2.0,3.0,0,features.16.weight,9.28006,84.06837
2.0,3.0,0,classifier.weight,8.140111,28.151833
2.0,3.0,150,features.0.weight,9.049823,84.04204
2.0,3.0,150,features.2.weight,8.938014,83.98193
2.0,3.0,150,features.4.weight,8.789523,84.13824
2.0,3.0,150,features.6.weight,8.922289,84.05358
2.0,3.0,150,features.8.weight,8.876594,84.08313
2.0,3.0,150,features.10.weight,9.035861,83.98351
2.0,3.0,150,features.12.weight,8.989116,83.974754
2.0,3.0,150,features.14.weight,9.326255,83.85415
2.0,3.0,150,features.16.weight,9.273646,84.069214
2.0,3.0,150,classifier.weight,8.206363,28.124025
2.0,3.0,550,features.0.weight,9.049878,84.0426
2.0,3.0,550,features.2.weight,8.936661,83.98269
2.0,3.0,550,features.4.weight,8.789561,84.13916
2.0,3.0,550,features.6.weight,8.9202585,84.05426
2.0,3.0,550,features.8.weight,8.877323,84.083916
2.0,3.0,550,features.10.weight,9.034541,83.98426
2.0,3.0,550,features.12.weight,8.988685,83.97563
2.0,3.0,550,features.14.weight,9.325302,83.8557
2.0,3.0,550,features.16.weight,9.273936,84.07041
2.0,3.0,550,classifier.weight,8.191671,28.130352
2.0,3.0,500,features.0.weight,9.049681,84.042534
2.0,3.0,500,features.2.weight,8.937152,83.98252
2.0,3.0,500,features.4.weight,8.789475,84.13901
2.0,3.0,500,features.6.weight,8.920254,84.05415
2.0,3.0,500,features.8.weight,8.877087,84.083954
2.0,3.0,500,features.10.weight,9.034281,83.98421
2.0,3.0,500,features.12.weight,8.988566,83.97555
2.0,3.0,500,features.14.weight,9.325396,83.85552
2.0,3.0,500,features.16.weight,9.273936,84.070274
2.0,3.0,500,classifier.weight,8.195266,28.130032
2.0,3.0,40,features.0.weight,9.048362,84.041756
2.0,3.0,40,features.2.weight,8.941379,83.98175
2.0,3.0,40,features.4.weight,8.788893,84.13744
2.0,3.0,40,features.6.weight,8.923057,84.05269
2.0,3.0,40,features.8.weight,8.876391,84.0824
2.0,3.0,40,features.10.weight,9.03685,83.98256
2.0,3.0,40,features.12.weight,8.988258,83.97402
2.0,3.0,40,features.14.weight,9.329808,83.85309
2.0,3.0,40,features.16.weight,9.276896,84.06794
2.0,3.0,40,classifier.weight,8.214276,28.11893
2.0,3.0,300,features.0.weight,9.050329,84.04222
2.0,3.0,300,features.2.weight,8.938656,83.98216
2.0,3.0,300,features.4.weight,8.788224,84.138725
2.0,3.0,300,features.6.weight,8.920374,84.05405
2.0,3.0,300,features.8.weight,8.877406,84.0835
2.0,3.0,300,features.10.weight,9.035168,83.98382
2.0,3.0,300,features.12.weight,8.988456,83.97523
2.0,3.0,300,features.14.weight,9.324984,83.85497
2.0,3.0,300,features.16.weight,9.274126,84.069756
2.0,3.0,300,classifier.weight,8.202875,28.127508
2.0,3.0,75,features.0.weight,9.049818,84.04189
2.0,3.0,75,features.2.weight,8.939623,83.981865
2.0,3.0,75,features.4.weight,8.78937,84.13781
2.0,3.0,75,features.6.weight,8.922428,84.05309
2.0,3.0,75,features.8.weight,8.877119,84.08284
2.0,3.0,75,features.10.weight,9.036362,83.98307
2.0,3.0,75,features.12.weight,8.988188,83.97431
2.0,3.0,75,features.14.weight,9.328642,83.85351
2.0,3.0,75,features.16.weight,9.274966,84.068535
2.0,3.0,75,classifier.weight,8.214276,28.120712
2.0,3.0,200,features.0.weight,9.050552,84.04205
2.0,3.0,200,features.2.weight,8.938833,83.98202
2.0,3.0,200,features.4.weight,8.788165,84.13848
2.0,3.0,200,features.6.weight,8.921927,84.05377
2.0,3.0,200,features.8.weight,8.876786,84.083496
2.0,3.0,200,features.10.weight,9.035958,83.98353
2.0,3.0,200,features.12.weight,8.988764,83.97502
2.0,3.0,200,features.14.weight,9.3256445,83.8545
2.0,3.0,200,features.16.weight,9.274206,84.06948
2.0,3.0,200,classifier.weight,8.206363,28.124958
2.0,3.0,10,features.0.weight,9.04704,84.041214
2.0,3.0,10,features.2.weight,8.944347,83.980545
2.0,3.0,10,features.4.weight,8.789392,84.136246
2.0,3.0,10,features.6.weight,8.927724,84.05114
2.0,3.0,10,features.8.weight,8.8789425,84.08074
2.0,3.0,10,features.10.weight,9.03639,83.98134
2.0,3.0,10,features.12.weight,8.989683,83.972244
2.0,3.0,10,features.14.weight,9.328762,83.85223
2.0,3.0,10,features.16.weight,9.277561,84.06694
2.0,3.0,10,classifier.weight,8.232485,28.114016
2.0,3.0,3,features.0.weight,9.046847,84.04011
2.0,3.0,3,features.2.weight,8.9466095,83.97909
2.0,3.0,3,features.4.weight,8.791428,84.135376
2.0,3.0,3,features.6.weight,8.929226,84.050385
2.0,3.0,3,features.8.weight,8.881727,84.078995
2.0,3.0,3,features.10.weight,9.039707,83.98002
2.0,3.0,3,features.12.weight,8.991648,83.97089
2.0,3.0,3,features.14.weight,9.330583,83.85141
2.0,3.0,3,features.16.weight,9.279769,84.06631
2.0,3.0,3,classifier.weight,8.214666,28.122389
2.0,3.0,250,features.0.weight,9.050079,84.04212
2.0,3.0,250,features.2.weight,8.939011,83.98211
2.0,3.0,250,features.4.weight,8.788474,84.138565
2.0,3.0,250,features.6.weight,8.921077,84.05396
2.0,3.0,250,features.8.weight,8.877048,84.08359
2.0,3.0,250,features.10.weight,9.035357,83.983696
2.0,3.0,250,features.12.weight,8.988444,83.975105
2.0,3.0,250,features.14.weight,9.325362,83.85467
2.0,3.0,250,features.16.weight,9.273778,84.06964
2.0,3.0,250,classifier.weight,8.202875,28.126604
2.0,3.0,400,features.0.weight,9.049223,84.04244
2.0,3.0,400,features.2.weight,8.937892,83.98218
2.0,3.0,400,features.4.weight,8.7889,84.138855
2.0,3.0,400,features.6.weight,8.9208,84.054016
2.0,3.0,400,features.8.weight,8.877397,84.08365
2.0,3.0,400,features.10.weight,9.03432,83.984085
2.0,3.0,400,features.12.weight,8.988981,83.97537
2.0,3.0,400,features.14.weight,9.324921,83.85532
2.0,3.0,400,features.16.weight,9.274042,84.069984
2.0,3.0,400,classifier.weight,8.195266,28.128984
2.0,3.0,650,features.0.weight,9.021647,84.042145
2.0,3.0,650,features.2.weight,9.030057,83.98239
2.0,3.0,650,features.4.weight,9.047932,84.13866
2.0,3.0,650,features.6.weight,9.193209,84.05366
2.0,3.0,650,features.8.weight,9.00932,84.08348
2.0,3.0,650,features.10.weight,9.043339,83.98402
2.0,3.0,650,features.12.weight,9.024932,83.97571
2.0,3.0,650,features.14.weight,9.069449,83.85561
2.0,3.0,650,features.16.weight,9.0103035,84.07014
2.0,3.0,650,classifier.weight,8.124623,28.130726
1.2,3.0,30,features.0.weight,1.2042534,350.41852
1.2,3.0,30,features.2.weight,1.2101655,258.18945
1.2,3.0,30,features.4.weight,1.1997814,398.8216
1.2,3.0,30,features.6.weight,1.1968696,860.3868
1.2,3.0,30,features.8.weight,1.2173456,870.16205
1.2,3.0,30,features.10.weight,1.1919583,415.91556
1.2,3.0,30,features.12.weight,1.2049017,815.7028
1.2,3.0,30,features.14.weight,1.195704,9860.779
1.2,3.0,30,features.16.weight,1.2282122,524.9203
1.2,3.0,30,classifier.weight,1.4299933,40.436264
1.2,3.0,50,features.0.weight,1.2042546,350.4188
1.2,3.0,50,features.2.weight,1.2101656,258.18936
1.2,3.0,50,features.4.weight,1.1998389,398.82153
1.2,3.0,50,features.6.weight,1.1969118,860.3868
1.2,3.0,50,features.8.weight,1.2173945,870.1619
1.2,3.0,50,features.10.weight,1.1920025,415.91547
1.2,3.0,50,features.12.weight,1.2049248,815.7028
1.2,3.0,50,features.14.weight,1.1956995,9860.779
1.2,3.0,50,features.16.weight,1.2282323,524.9204
1.2,3.0,50,classifier.weight,1.4299802,40.435875
1.2,3.0,1,features.0.weight,1.2116946,350.4139
1.2,3.0,1,features.2.weight,1.2100573,258.18732
1.2,3.0,1,features.4.weight,1.1997199,398.8211
1.2,3.0,1,features.6.weight,1.2042544,860.3868
1.2,3.0,1,features.8.weight,1.209481,870.1619
1.2,3.0,1,features.10.weight,1.1844053,415.9154
1.2,3.0,1,features.12.weight,1.20476,815.70294
1.2,3.0,1,features.14.weight,1.1954957,9860.779
1.2,3.0,1,features.16.weight,1.2280736,524.92065
1.2,3.0,1,classifier.weight,1.42918,40.44784
1.2,3.0,600,features.0.weight,1.2043365,350.4201
1.2,3.0,600,features.2.weight,1.2101665,258.18967
1.2,3.0,600,features.4.weight,1.1998821,398.82144
1.2,3.0,600,features.6.weight,1.196929,860.38684
1.2,3.0,600,features.8.weight,1.2097281,870.1619
1.2,3.0,600,features.10.weight,1.1920403,415.91583
1.2,3.0,600,features.12.weight,1.2049581,815.7028
1.2,3.0,600,features.14.weight,1.1955954,9860.779
1.2,3.0,600,features.16.weight,1.2280949,524.9209
1.2,3.0,600,classifier.weight,1.4422139,40.454727
1.2,3.0,6,features.0.weight,1.2041706,350.41666
1.2,3.0,6,features.2.weight,1.2101483,258.18796
1.2,3.0,6,features.4.weight,1.192146,398.8218
1.2,3.0,6,features.6.weight,1.2042621,860.38696
1.2,3.0,6,features.8.weight,1.2172759,870.16187
1.2,3.0,6,features.10.weight,1.1919017,415.91544
1.2,3.0,6,features.12.weight,1.204838,815.7029
1.2,3.0,6,features.14.weight,1.1955963,9860.779
1.2,3.0,6,features.16.weight,1.2281221,524.9205
1.2,3.0,6,classifier.weight,1.4296743,40.43901
1.2,3.0,8,features.0.weight,1.2041215,350.41693
1.2,3.0,8,features.2.weight,1.2101175,258.1887
1.2,3.0,8,features.4.weight,1.1921802,398.82193
1.2,3.0,8,features.6.weight,1.204278,860.38684
1.2,3.0,8,features.8.weight,1.2172929,870.16187
1.2,3.0,8,features.10.weight,1.1919099,415.91544
1.2,3.0,8,features.12.weight,1.2048432,815.7029
1.2,3.0,8,features.14.weight,1.1956152,9860.779
1.2,3.0,8,features.16.weight,1.2281333,524.9204
1.2,3.0,8,classifier.weight,1.4298377,40.43821
1.2,3.0,15,features.0.weight,1.2041502,350.4179
1.2,3.0,15,features.2.weight,1.2101306,258.18933
1.2,3.0,15,features.4.weight,1.1997379,398.82193
1.2,3.0,15,features.6.weight,1.1968133,860.38684
1.2,3.0,15,features.8.weight,1.2095842,870.16205
1.2,3.0,15,features.10.weight,1.1919295,415.91544
1.2,3.0,15,features.12.weight,1.2048783,815.7028
1.2,3.0,15,features.14.weight,1.1956518,9860.779
1.2,3.0,15,features.16.weight,1.2281909,524.9203
1.2,3.0,15,classifier.weight,1.4299933,40.43725
1.2,3.0,20,features.0.weight,1.2042495,350.4181
1.2,3.0,20,features.2.weight,1.2101738,258.18936
1.2,3.0,20,features.4.weight,1.1997908,398.8219
1.2,3.0,20,features.6.weight,1.1968118,860.38684
1.2,3.0,20,features.8.weight,1.2173367,870.16205
1.2,3.0,20,features.10.weight,1.1919472,415.91537
1.2,3.0,20,features.12.weight,1.2049057,815.7028
1.2,3.0,20,features.14.weight,1.1956687,9860.779
1.2,3.0,20,features.16.weight,1.228192,524.92035
1.2,3.0,20,classifier.weight,1.4299933,40.43666
1.2,3.0,100,features.0.weight,1.2043269,350.4197
1.2,3.0,100,features.2.weight,1.2101635,258.19022
1.2,3.0,100,features.4.weight,1.192304,398.82132
1.2,3.0,100,features.6.weight,1.1969146,860.3868
1.2,3.0,100,features.8.weight,1.2174168,870.16187
