alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.14.weight,0.9992076995832831
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.2.weight,0.996099073723384
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.4.weight,0.9962505069344699
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.6.weight,0.9964348720487143
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.16.weight,features.8.weight,0.9967676427968223
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,classifier.weight,0.987699314886846
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.0.weight,0.9998787705000001
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.10.weight,0.9996821932529415
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.12.weight,0.9993721155331825
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.14.weight,0.9985736898183117
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.16.weight,0.996099073723384
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.4.weight,0.9999120464766744
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.6.weight,0.9998724623148894
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.2.weight,features.8.weight,0.9998033276335246
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,classifier.weight,0.9878643066548667
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.0.weight,0.99981315412544
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.10.weight,0.9997655508280254
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.12.weight,0.9994765165226682
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.14.weight,0.998698157323616
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.16.weight,0.9962505069344699
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.2.weight,0.9999120464766744
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.6.weight,0.9999395086684327
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.4.weight,features.8.weight,0.9998826332454815
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,classifier.weight,0.9880917593732472
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.0.weight,0.9997852556620851
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.10.weight,0.9998449265468106
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.12.weight,0.9995816900088257
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.14.weight,0.9988434853574752
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.16.weight,0.9964348720487143
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.2.weight,0.9998724623148894
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.4.weight,0.9999395086684327
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.6.weight,features.8.weight,0.9999391675878586
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,classifier.weight,0.9885944680789478
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.0.weight,0.9996988995919732
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.10.weight,0.9999358762498886
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.12.weight,0.9997291965558431
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.14.weight,0.99906721962126
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.16.weight,0.9967676427968223
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.2.weight,0.9998033276335246
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.4.weight,0.9998826332454815
2.0,3.0,alpha_2.0_g_3.0,1,dcor,features.8.weight,features.6.weight,0.9999391675878586
