step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
2900,0.7750000357627869,0.6360000371932983,0.5040000081062317,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3000,0.7740000486373901,0.6360000371932983,0.5370000004768372,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3100,0.7730000615119934,0.6350000500679016,0.5550000071525574,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3200,0.7730000615119934,0.6380000114440918,0.5700000524520874,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3300,0.7720000147819519,0.6340000033378601,0.5890000462532043,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3400,0.7740000486373901,0.6350000500679016,0.5870000123977661,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3500,0.7740000486373901,0.6360000371932983,0.5960000157356262,,,,,,,,,,,,,,,,,,5372.0,244.0,328.0,486.0,561.0,597.0,617.0,627.0,633.0,638.0,641.0
3525,0.7750000357627869,0.6350000500679016,0.597000002861023,0.10500000417232513,0.11000000685453415,0.09000000357627869,0.12200000882148743,0.09800000488758087,0.09200000762939453,0.10100000351667404,0.10900000482797623,0.10700000822544098,0.08400000631809235,0.08000000566244125,0.10300000756978989,0.09300000220537186,0.07800000160932541,0.0950000062584877,0.10200000554323196,0.08700000494718552,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
3600,0.7760000228881836,0.6380000114440918,0.5920000076293945,0.1860000044107437,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
3700,0.7770000100135803,0.6390000581741333,0.5950000286102295,0.28300002217292786,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
3800,0.7750000357627869,0.6440000534057617,0.593000054359436,0.3580000102519989,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
3900,0.7760000228881836,0.6420000195503235,0.593000054359436,0.3970000147819519,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4000,0.7760000228881836,0.6430000066757202,0.5910000205039978,0.4300000071525574,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4100,0.7740000486373901,0.6440000534057617,0.5900000333786011,0.4540000259876251,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4200,0.7730000615119934,0.6430000066757202,0.5920000076293945,0.46400001645088196,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4300,0.7720000147819519,0.6450000405311584,0.5940000414848328,0.4830000102519989,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4400,0.7720000147819519,0.6430000066757202,0.593000054359436,0.5010000467300415,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4500,0.7690000534057617,0.6420000195503235,0.5940000414848328,0.5100000500679016,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4600,0.7680000066757202,0.6390000581741333,0.5900000333786011,0.4970000088214874,,,,,,,,,,,,,,,,,6008.0,338.0,410.0,567.0,631.0,659.0,672.0,679.0,682.0,685.0,685.0
4700,0.7720000147819519,0.6390000581741333,0.5910000205039978,0.5260000228881836,0.11000000685453415,0.07800000160932541,0.12300000339746475,0.08800000697374344,0.08300000429153442,0.10400000214576721,0.0950000062584877,0.10000000149011612,0.10600000619888306,0.07000000029802322,0.10100000351667404,0.08900000154972076,0.08700000494718552,0.10100000351667404,0.10500000417232513,0.08500000089406967,6322.0,416.0,469.0,611.0,663.0,684.0,691.0,695.0,697.0,698.0,698.0
