step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,total_basis_rank,basis_rank_features.0.weight,basis_rank_features.2.weight,basis_rank_features.4.weight,basis_rank_features.6.weight,basis_rank_features.8.weight,basis_rank_features.10.weight,basis_rank_features.12.weight,basis_rank_features.14.weight,basis_rank_features.16.weight,basis_rank_classifier.weight
3400,0.9170000553131104,0.8920000195503235,0.8910000324249268,,,,,,,,,,,,,,,,,,2183.0,244.0,218.0,197.0,196.0,200.0,208.0,218.0,230.0,234.0,238.0
3500,0.9160000681877136,0.89000004529953,0.8940000534057617,,,,,,,,,,,,,,,,,,2183.0,244.0,218.0,197.0,196.0,200.0,208.0,218.0,230.0,234.0,238.0
3525,0.9160000681877136,0.89000004529953,0.8960000276565552,0.11500000208616257,0.09300000220537186,0.07300000637769699,0.09100000560283661,0.10100000351667404,0.07800000160932541,0.10000000149011612,0.11400000751018524,0.06000000238418579,0.10700000822544098,0.10900000482797623,0.10700000822544098,0.09700000286102295,0.1420000046491623,0.09200000762939453,0.10300000756978989,0.09700000286102295,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
3600,0.9200000166893005,0.8880000710487366,0.8920000195503235,0.5610000491142273,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
3700,0.9200000166893005,0.8830000162124634,0.8890000581741333,0.7210000157356262,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
3800,0.9190000295639038,0.8830000162124634,0.8920000195503235,0.7730000615119934,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
3900,0.9200000166893005,0.8840000629425049,0.893000066280365,0.7990000247955322,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4000,0.921000063419342,0.8830000162124634,0.8920000195503235,0.8230000138282776,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4100,0.9190000295639038,0.8840000629425049,0.8950000405311584,0.8370000123977661,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4200,0.9200000166893005,0.8840000629425049,0.8950000405311584,0.8470000624656677,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4300,0.9200000166893005,0.8840000629425049,0.8940000534057617,0.8580000400543213,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4400,0.9200000166893005,0.8830000162124634,0.893000066280365,0.859000027179718,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4500,0.9190000295639038,0.8830000162124634,0.893000066280365,0.859000027179718,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4600,0.9180000424385071,0.8830000162124634,0.893000066280365,0.8720000386238098,,,,,,,,,,,,,,,,,2608.0,338.0,284.0,243.0,233.0,233.0,239.0,249.0,260.0,263.0,266.0
4700,0.9180000424385071,0.8830000162124634,0.8940000534057617,0.8720000386238098,0.0990000069141388,0.07800000160932541,0.07600000500679016,0.10900000482797623,0.06300000101327896,0.08300000429153442,0.10900000482797623,0.06400000303983688,0.0990000069141388,0.12800000607967377,0.09400000423192978,0.10300000756978989,0.1300000101327896,0.09400000423192978,0.11300000548362732,0.12200000882148743,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
4700,0.9180000424385071,0.8830000162124634,0.8940000534057617,0.8720000386238098,0.09200000762939453,,,,,,,,,,,,,,,,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
4800,0.9140000343322754,0.8820000290870667,0.8910000324249268,0.8690000176429749,0.5640000104904175,,,,,,,,,,,,,,,,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
4900,0.9130000472068787,0.8830000162124634,0.8920000195503235,0.8680000305175781,0.6810000538825989,,,,,,,,,,,,,,,,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
5000,0.9120000600814819,0.8810000419616699,0.89000004529953,0.8670000433921814,0.737000048160553,,,,,,,,,,,,,,,,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
5100,0.9110000729560852,0.8830000162124634,0.89000004529953,0.8670000433921814,0.76500004529953,,,,,,,,,,,,,,,,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
5200,0.9110000729560852,0.8800000548362732,0.8890000581741333,0.8690000176429749,0.796000063419342,,,,,,,,,,,,,,,,2898.0,416.0,333.0,277.0,258.0,255.0,258.0,267.0,276.0,278.0,280.0
