Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.2_g_3.0/GeneralMLP_LR0.001_BS1024_20260501_230859_s9
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=3.0)
Applying HT Init: alpha=1.2, g=3.0, seed=9
Epoch 92 | Train Acc: 0.9926 | Test Acc: 0.9217
Epoch 93 | Train Acc: 0.9924 | Test Acc: 0.9213
Epoch 94 | Train Acc: 0.9927 | Test Acc: 0.9232
Epoch 95 | Train Acc: 0.9932 | Test Acc: 0.9238
Epoch 96 | Train Acc: 0.9938 | Test Acc: 0.9232
Epoch 97 | Train Acc: 0.9939 | Test Acc: 0.9237
Epoch 98 | Train Acc: 0.9938 | Test Acc: 0.9220
Epoch 99 | Train Acc: 0.9944 | Test Acc: 0.9240
Epoch 100 | Train Acc: 0.9948 | Test Acc: 0.9230
Epoch 101 | Train Acc: 0.9949 | Test Acc: 0.9228
Epoch 102 | Train Acc: 0.9952 | Test Acc: 0.9235
Epoch 103 | Train Acc: 0.9953 | Test Acc: 0.9238
Epoch 104 | Train Acc: 0.9953 | Test Acc: 0.9240
Epoch 105 | Train Acc: 0.9954 | Test Acc: 0.9248
Epoch 106 | Train Acc: 0.9957 | Test Acc: 0.9242
Epoch 107 | Train Acc: 0.9959 | Test Acc: 0.9251
Epoch 108 | Train Acc: 0.9957 | Test Acc: 0.9237
Epoch 109 | Train Acc: 0.9957 | Test Acc: 0.9255
Epoch 110 | Train Acc: 0.9960 | Test Acc: 0.9253
Epoch 111 | Train Acc: 0.9961 | Test Acc: 0.9245
Epoch 112 | Train Acc: 0.9961 | Test Acc: 0.9258
Epoch 113 | Train Acc: 0.9962 | Test Acc: 0.9254
Epoch 114 | Train Acc: 0.9964 | Test Acc: 0.9255
Epoch 115 | Train Acc: 0.9965 | Test Acc: 0.9250
Epoch 116 | Train Acc: 0.9966 | Test Acc: 0.9247
Epoch 117 | Train Acc: 0.9967 | Test Acc: 0.9255
Epoch 118 | Train Acc: 0.9965 | Test Acc: 0.9260
Epoch 119 | Train Acc: 0.9964 | Test Acc: 0.9245
Epoch 120 | Train Acc: 0.9966 | Test Acc: 0.9257
Epoch 121 | Train Acc: 0.9967 | Test Acc: 0.9259
Epoch 122 | Train Acc: 0.9967 | Test Acc: 0.9260
Epoch 123 | Train Acc: 0.9968 | Test Acc: 0.9252
Epoch 124 | Train Acc: 0.9970 | Test Acc: 0.9254
Epoch 125 | Train Acc: 0.9972 | Test Acc: 0.9257
Epoch 126 | Train Acc: 0.9971 | Test Acc: 0.9264
Epoch 127 | Train Acc: 0.9972 | Test Acc: 0.9258
Epoch 128 | Train Acc: 0.9971 | Test Acc: 0.9267
Epoch 129 | Train Acc: 0.9975 | Test Acc: 0.9265
Epoch 130 | Train Acc: 0.9975 | Test Acc: 0.9264
Epoch 131 | Train Acc: 0.9976 | Test Acc: 0.9259
Epoch 132 | Train Acc: 0.9976 | Test Acc: 0.9261
Epoch 133 | Train Acc: 0.9977 | Test Acc: 0.9262
Epoch 134 | Train Acc: 0.9978 | Test Acc: 0.9262
Epoch 135 | Train Acc: 0.9979 | Test Acc: 0.9264
Epoch 136 | Train Acc: 0.9979 | Test Acc: 0.9264
Epoch 137 | Train Acc: 0.9980 | Test Acc: 0.9266
Epoch 138 | Train Acc: 0.9978 | Test Acc: 0.9268
Epoch 139 | Train Acc: 0.9979 | Test Acc: 0.9273
Epoch 140 | Train Acc: 0.9981 | Test Acc: 0.9270
Epoch 141 | Train Acc: 0.9964 | Test Acc: 0.9266
Epoch 142 | Train Acc: 0.9960 | Test Acc: 0.9268
Epoch 143 | Train Acc: 0.9965 | Test Acc: 0.9269
Epoch 144 | Train Acc: 0.9970 | Test Acc: 0.9261
Epoch 145 | Train Acc: 0.9973 | Test Acc: 0.9266
Epoch 146 | Train Acc: 0.9974 | Test Acc: 0.9257
Epoch 147 | Train Acc: 0.9978 | Test Acc: 0.9265
