Logging initialized in: training_runs/mnist_mlp_sweep/alpha_2.0_g_3.0/GeneralMLP_LR0.001_BS1024_20260427_194438_s1
Overwriting weights with Heavy-Tailed Distribution (α=2.0, g=3.0)
Applying HT Init: alpha=2.0, g=3.0, seed=1
Epoch 0 | Train Acc: 0.1022 | Test Acc: 0.1013
Epoch 1 | Train Acc: 0.2195 | Test Acc: 0.3252
Epoch 2 | Train Acc: 0.4387 | Test Acc: 0.4258
Epoch 3 | Train Acc: 0.5764 | Test Acc: 0.4761
Epoch 4 | Train Acc: 0.6811 | Test Acc: 0.5029
Epoch 5 | Train Acc: 0.7624 | Test Acc: 0.5216
Epoch 6 | Train Acc: 0.8297 | Test Acc: 0.5320
Epoch 7 | Train Acc: 0.8800 | Test Acc: 0.5395
Epoch 8 | Train Acc: 0.9174 | Test Acc: 0.5426
Epoch 9 | Train Acc: 0.9442 | Test Acc: 0.5456
Epoch 10 | Train Acc: 0.9615 | Test Acc: 0.5520
Epoch 11 | Train Acc: 0.9739 | Test Acc: 0.5520
Epoch 12 | Train Acc: 0.9819 | Test Acc: 0.5551
Epoch 13 | Train Acc: 0.9869 | Test Acc: 0.5564
Epoch 14 | Train Acc: 0.9911 | Test Acc: 0.5579
Epoch 15 | Train Acc: 0.9934 | Test Acc: 0.5598
Epoch 16 | Train Acc: 0.9952 | Test Acc: 0.5596
Epoch 17 | Train Acc: 0.9966 | Test Acc: 0.5613
Epoch 18 | Train Acc: 0.9974 | Test Acc: 0.5629
Epoch 19 | Train Acc: 0.9980 | Test Acc: 0.5636
Epoch 20 | Train Acc: 0.9986 | Test Acc: 0.5642
Epoch 21 | Train Acc: 0.9990 | Test Acc: 0.5649
Epoch 22 | Train Acc: 0.9992 | Test Acc: 0.5659
Epoch 23 | Train Acc: 0.9994 | Test Acc: 0.5665
Epoch 24 | Train Acc: 0.9996 | Test Acc: 0.5677
Epoch 25 | Train Acc: 0.9997 | Test Acc: 0.5688
Epoch 26 | Train Acc: 0.9997 | Test Acc: 0.5689
Epoch 27 | Train Acc: 0.9998 | Test Acc: 0.5692
Epoch 28 | Train Acc: 0.9999 | Test Acc: 0.5700
Epoch 29 | Train Acc: 0.9999 | Test Acc: 0.5706
Epoch 30 | Train Acc: 0.9999 | Test Acc: 0.5708
Epoch 31 | Train Acc: 0.9999 | Test Acc: 0.5718
Epoch 32 | Train Acc: 0.9999 | Test Acc: 0.5724
Epoch 33 | Train Acc: 0.9999 | Test Acc: 0.5720
Epoch 34 | Train Acc: 1.0000 | Test Acc: 0.5731
Epoch 35 | Train Acc: 1.0000 | Test Acc: 0.5733
Epoch 36 | Train Acc: 1.0000 | Test Acc: 0.5736
Epoch 37 | Train Acc: 1.0000 | Test Acc: 0.5743
Epoch 38 | Train Acc: 1.0000 | Test Acc: 0.5745
Epoch 39 | Train Acc: 1.0000 | Test Acc: 0.5753
Epoch 40 | Train Acc: 1.0000 | Test Acc: 0.5755
Epoch 41 | Train Acc: 1.0000 | Test Acc: 0.5754
Epoch 42 | Train Acc: 1.0000 | Test Acc: 0.5758
Epoch 43 | Train Acc: 1.0000 | Test Acc: 0.5762
Epoch 44 | Train Acc: 1.0000 | Test Acc: 0.5768
Epoch 45 | Train Acc: 1.0000 | Test Acc: 0.5769
Epoch 46 | Train Acc: 1.0000 | Test Acc: 0.5770
Epoch 47 | Train Acc: 1.0000 | Test Acc: 0.5776
Epoch 48 | Train Acc: 1.0000 | Test Acc: 0.5780
Epoch 49 | Train Acc: 1.0000 | Test Acc: 0.5778
Epoch 50 | Train Acc: 1.0000 | Test Acc: 0.5783
Epoch 51 | Train Acc: 1.0000 | Test Acc: 0.5783
Epoch 52 | Train Acc: 1.0000 | Test Acc: 0.5786
Epoch 53 | Train Acc: 1.0000 | Test Acc: 0.5788
Epoch 54 | Train Acc: 1.0000 | Test Acc: 0.5792
Epoch 55 | Train Acc: 1.0000 | Test Acc: 0.5795
Epoch 56 | Train Acc: 1.0000 | Test Acc: 0.5800
Epoch 57 | Train Acc: 1.0000 | Test Acc: 0.5797
Epoch 58 | Train Acc: 1.0000 | Test Acc: 0.5801
Epoch 59 | Train Acc: 1.0000 | Test Acc: 0.5803
Epoch 60 | Train Acc: 1.0000 | Test Acc: 0.5804
Epoch 61 | Train Acc: 1.0000 | Test Acc: 0.5805
Epoch 62 | Train Acc: 1.0000 | Test Acc: 0.5809
Epoch 63 | Train Acc: 1.0000 | Test Acc: 0.5810
Epoch 64 | Train Acc: 1.0000 | Test Acc: 0.5807
Epoch 65 | Train Acc: 1.0000 | Test Acc: 0.5808
Epoch 66 | Train Acc: 1.0000 | Test Acc: 0.5813
Epoch 67 | Train Acc: 1.0000 | Test Acc: 0.5816
Epoch 68 | Train Acc: 1.0000 | Test Acc: 0.5816
Epoch 69 | Train Acc: 1.0000 | Test Acc: 0.5818
Epoch 70 | Train Acc: 1.0000 | Test Acc: 0.5823
Epoch 71 | Train Acc: 1.0000 | Test Acc: 0.5821
Epoch 72 | Train Acc: 1.0000 | Test Acc: 0.5824
Epoch 73 | Train Acc: 1.0000 | Test Acc: 0.5824
Epoch 74 | Train Acc: 1.0000 | Test Acc: 0.5829
Epoch 75 | Train Acc: 1.0000 | Test Acc: 0.5827
Epoch 76 | Train Acc: 1.0000 | Test Acc: 0.5827
Epoch 77 | Train Acc: 1.0000 | Test Acc: 0.5828
Epoch 78 | Train Acc: 1.0000 | Test Acc: 0.5830
Epoch 79 | Train Acc: 1.0000 | Test Acc: 0.5834
Epoch 80 | Train Acc: 1.0000 | Test Acc: 0.5833
Epoch 81 | Train Acc: 1.0000 | Test Acc: 0.5835
Epoch 82 | Train Acc: 1.0000 | Test Acc: 0.5835
Epoch 83 | Train Acc: 1.0000 | Test Acc: 0.5837
Epoch 84 | Train Acc: 1.0000 | Test Acc: 0.5837
Epoch 85 | Train Acc: 1.0000 | Test Acc: 0.5838
Epoch 86 | Train Acc: 1.0000 | Test Acc: 0.5840
Epoch 87 | Train Acc: 1.0000 | Test Acc: 0.5840
Epoch 88 | Train Acc: 1.0000 | Test Acc: 0.5844
Epoch 89 | Train Acc: 1.0000 | Test Acc: 0.5844
Epoch 90 | Train Acc: 1.0000 | Test Acc: 0.5844
Epoch 91 | Train Acc: 1.0000 | Test Acc: 0.5845
Epoch 92 | Train Acc: 1.0000 | Test Acc: 0.5845
Epoch 93 | Train Acc: 1.0000 | Test Acc: 0.5844
Epoch 94 | Train Acc: 1.0000 | Test Acc: 0.5845
Epoch 95 | Train Acc: 1.0000 | Test Acc: 0.5848
Epoch 96 | Train Acc: 1.0000 | Test Acc: 0.5848
Epoch 97 | Train Acc: 1.0000 | Test Acc: 0.5845
Epoch 98 | Train Acc: 1.0000 | Test Acc: 0.5848
Epoch 99 | Train Acc: 1.0000 | Test Acc: 0.5850
Epoch 100 | Train Acc: 1.0000 | Test Acc: 0.5853
Epoch 101 | Train Acc: 1.0000 | Test Acc: 0.5853
Epoch 102 | Train Acc: 1.0000 | Test Acc: 0.5853
Epoch 103 | Train Acc: 1.0000 | Test Acc: 0.5858
Epoch 104 | Train Acc: 1.0000 | Test Acc: 0.5862
Epoch 105 | Train Acc: 1.0000 | Test Acc: 0.5865
Epoch 106 | Train Acc: 1.0000 | Test Acc: 0.5865
Epoch 107 | Train Acc: 1.0000 | Test Acc: 0.5867
Epoch 108 | Train Acc: 1.0000 | Test Acc: 0.5870
Epoch 109 | Train Acc: 1.0000 | Test Acc: 0.5872
Epoch 110 | Train Acc: 1.0000 | Test Acc: 0.5873
Epoch 111 | Train Acc: 1.0000 | Test Acc: 0.5874
