epoch,train_loss,train_acc,test_loss,test_acc,fs_1shot_mean
1,8.216992605600925,0.0006224066390041493,7.2148250190957075,0.0017450682852807283,0.2923999910801649
10,6.441289548052858,0.016856846473029045,7.078748068763215,0.001669195751138088,0.5699999845027923
20,4.733013841490083,0.14009336099585062,8.486168639173785,0.002352048558421851,0.6491999812424183
30,3.5936542836246113,0.3121369294605809,9.641886211136013,0.002959028831562974,0.7055999812483787
40,2.8603801222037006,0.4242738589211618,10.834945336128902,0.0021244309559939304,0.7199999815225602
50,2.358279833730483,0.5117219917012448,11.693489000635239,0.0017450682852807283,0.7359999778866768
60,1.9887603237139468,0.5776452282157676,12.455901960724766,0.002276176024279211,0.7355999818444252
70,1.67372716183694,0.6433091286307054,12.881938536190292,0.0021244309559939304,0.7459999763965607
80,1.4071329587342722,0.7043049792531121,13.380859060194886,0.002352048558421851,0.7623999777436257
90,1.1792397199087585,0.7599066390041493,13.861707354054868,0.002655538694992413,0.7551999816298485
100,0.9981988601337205,0.8057053941908714,14.221055271556077,0.002352048558421851,0.7655999791622162
110,0.846101246132756,0.8445020746887967,14.467089708568981,0.0022003034901365705,0.774399979710579
120,0.7149360515423958,0.8824688796680498,14.864102993196655,0.0021244309559939304,0.7843999776244164
130,0.6105480326327267,0.908298755186722,15.2045637241845,0.002352048558421851,0.785199975669384
140,0.5152551819946593,0.9326244813278008,15.485043692357332,0.0022003034901365705,0.8103999760746956
150,0.4399736594680129,0.950259336099585,15.68121412888314,0.0021244309559939304,0.7939999806880951
