layer,epoch,loss,accuracy
0,1,1.5379248877703133,71.62
0,2,0.768793257616334,80.07
0,3,0.6195012300701465,83.0
0,4,0.5506735469325114,84.73
0,5,0.5088308216151545,85.74
0,6,0.47998774809352424,86.45
0,7,0.45904429231659843,87.15
0,8,0.44262454873424467,87.5
0,9,0.42909842477006427,87.97
0,10,0.4183706196687989,88.21
0,11,0.40907201120408915,88.38
0,12,0.4013586140285104,88.58
0,13,0.3940301785024546,88.75
0,14,0.387886004427732,88.95
0,15,0.38299880896584465,89.23
0,16,0.3782997277833648,89.29
0,17,0.373291486905793,89.36
0,18,0.3696373342457464,89.52
0,19,0.36552231544155184,89.64
0,20,0.3626428135370804,89.75
0,21,0.36027599138728644,89.86
0,22,0.35686685473231944,89.95
0,23,0.3539528877048169,89.97
0,24,0.35155898231571003,90.05
0,25,0.34949052788443485,90.12
0,26,0.3468158487546242,90.15
0,27,0.34501615166664124,90.21
0,28,0.3431996586969343,90.29
0,29,0.34131536140280255,90.35
0,30,0.3390030628543789,90.38
1,1,1.6325553918288926,67.11
1,2,0.8568402730812461,77.28
1,3,0.6788160992880999,81.11
1,4,0.5947177440433179,83.36
1,5,0.5433113423444457,84.67
1,6,0.5078888858779002,85.46
1,7,0.48200370699672374,86.07
1,8,0.4622208218453294,86.59
1,9,0.445930783021248,87.1
1,10,0.4321908097145921,87.39
1,11,0.42125821719735357,87.69
1,12,0.4110314881397506,87.96
1,13,0.4020591686337681,88.17
1,14,0.3945328987250894,88.47
1,15,0.3875595755496268,88.54
1,16,0.3810808279756772,88.71
1,17,0.3753627018403199,88.86
1,18,0.37014991954221566,89.06
1,19,0.3653589906328816,89.07
1,20,0.3606658572867765,89.17
1,21,0.35707935337292945,89.31
1,22,0.3528437326520176,89.5
1,23,0.34927952542143353,89.7
1,24,0.3455560540748855,89.73
1,25,0.3424149509203636,89.85
1,26,0.3391995202686827,89.94
1,27,0.3360443423360081,89.98
1,28,0.33372168571262034,90.07
1,29,0.33104581651041065,90.23
1,30,0.32879165976734487,90.32
2,1,1.7228026854789864,65.08
2,2,0.9004732824988284,75.74
2,3,0.7112949894646466,80.01
2,4,0.6203959442801394,82.56
2,5,0.5658484222525257,83.89
2,6,0.5288506220963042,84.94
2,7,0.5018795753939677,85.45
2,8,0.4805443332356922,86.16
2,9,0.4635275592238216,86.57
2,10,0.4497454631126533,87.0
2,11,0.43779522332094484,87.25
2,12,0.4272021388603469,87.47
2,13,0.41782003388566485,87.8
2,14,0.40944458266436046,88.0
2,15,0.4026149349697566,88.13
2,16,0.3955043028976958,88.31
2,17,0.39002943847139004,88.51
2,18,0.38438954848354145,88.68
2,19,0.3796186305708804,88.76
2,20,0.3747935315309945,88.98
2,21,0.3699536500340801,89.02
2,22,0.36624503893367316,89.14
2,23,0.36206997249086026,89.17
2,24,0.3586366646370645,89.29
2,25,0.3552508424904387,89.31
2,26,0.3515101418656818,89.44
2,27,0.3493914826441619,89.49
2,28,0.3458125475099531,89.56
2,29,0.3429603809017246,89.63
2,30,0.34028341204433116,89.7
3,1,1.691242496846086,64.25
3,2,0.9365911908068899,74.58
3,3,0.7482927633544146,78.67
3,4,0.6549740302360664,80.94
3,5,0.5980445671889741,82.26
3,6,0.5590468569327209,83.52
3,7,0.5292008701017348,84.37
3,8,0.5064684213218043,84.89
3,9,0.48832115682504945,85.59
3,10,0.4734691891629817,85.92
3,11,0.4604585024259858,86.29
3,12,0.4493691385802576,86.59
3,13,0.43987036306979294,86.95
3,14,0.4304102901685036,87.29
3,15,0.4230284155425379,87.26
3,16,0.4162386499219022,87.47
3,17,0.40978943139819773,87.81
3,18,0.4040115430193432,87.84
3,19,0.3986331194134082,88.15
3,20,0.3932817482342154,87.98
3,21,0.3891909132569523,88.31
3,22,0.38505872831506244,88.36
3,23,0.3806618684429233,88.52
3,24,0.3767734286138567,88.41
3,25,0.37353591898740346,88.57
3,26,0.37021546141575956,88.78
3,27,0.3668913209842423,88.73
3,28,0.3637706132258399,88.85
3,29,0.3604007772469925,89.05
3,30,0.35829187904374077,89.21
4,1,1.815049634141437,58.75
4,2,1.094582130343227,70.61
4,3,0.8741489224514719,75.89
4,4,0.7624831290568336,78.54
4,5,0.6934260837102341,80.91
4,6,0.6450631285117845,81.93
4,7,0.6102105833716311,82.82
4,8,0.582597297126964,83.42
4,9,0.5608417048292645,83.91
4,10,0.5425504243980019,84.51
4,11,0.5269767157102035,84.77
4,12,0.5140187381687811,85.19
4,13,0.5023734327089988,85.56
4,14,0.49281404230554227,85.86
4,15,0.48331142229548957,86.07
4,16,0.47505349476458664,86.27
4,17,0.46761619034460034,86.46
4,18,0.4613922526270656,86.71
4,19,0.45493947348352204,86.9
4,20,0.44933602617958845,87.08
4,21,0.44437979288020374,87.08
4,22,0.43892964215601904,87.22
4,23,0.4346670634665732,87.4
4,24,0.42998571971715505,87.42
4,25,0.42591535085338655,87.53
4,26,0.4221729944318028,87.61
4,27,0.4186471549131103,87.73
4,28,0.4154777132858664,87.72
4,29,0.41234370560969336,87.91
4,30,0.4090990232209028,87.92
5,1,1.901297516741995,53.43
5,2,1.271634233199944,66.24
5,3,1.0387910978268768,71.77
5,4,0.9111273450366522,74.71
5,5,0.8297647480237282,77.13
5,6,0.7714597835379132,78.21
5,7,0.7289470393778914,79.51
5,8,0.6950398148116419,80.14
5,9,0.6680926286568076,80.87
5,10,0.6459582286365961,81.39
5,11,0.6272196820226766,81.83
5,12,0.6115251567404149,82.29
5,13,0.5978464150832872,82.31
5,14,0.5850798255306179,82.66
5,15,0.5739925635063042,83.0
5,16,0.564678412372783,83.19
5,17,0.5555369550898924,83.47
5,18,0.5484575048341589,83.69
5,19,0.54090495735912,83.84
5,20,0.5346443355083466,83.87
5,21,0.528481764813601,84.16
5,22,0.5225465282545252,84.2
5,23,0.5179250902038509,84.51
5,24,0.5132291029065342,84.64
5,25,0.5081330088235564,84.77
5,26,0.5040972343945908,84.88
5,27,0.499754282377534,84.95
5,28,0.49590223370972325,84.93
5,29,0.4924997965158042,85.18
5,30,0.48894644288693445,85.21
6,1,2.0950781733302746,41.9
6,2,1.4951109138585754,58.62
6,3,1.2363834421513444,64.96
6,4,1.0876274896880327,69.49
6,5,0.9900382231857817,71.36
6,6,0.9196559817104016,73.26
6,7,0.8680131475804216,74.97
6,8,0.8267158128447452,75.8
6,9,0.7941679954528809,76.73
6,10,0.7671237709158558,77.73
6,11,0.744653438107442,78.41
6,12,0.7252480135125629,78.83
6,13,0.7090099433721122,79.16
6,14,0.6937233623811754,79.47
6,15,0.6809017466286481,79.74
6,16,0.6693372989104966,80.12
6,17,0.6591665775088941,80.42
6,18,0.6497645165960667,80.65
6,19,0.6407921193009716,80.84
6,20,0.6334754521563902,80.95
6,21,0.6267974336268538,81.25
6,22,0.6195830430014658,81.37
6,23,0.613046389515117,81.39
6,24,0.6079216003417969,81.5
6,25,0.6025453603873818,81.85
6,26,0.5971884343583705,82.04
6,27,0.592852962219109,81.93
6,28,0.5887765510607574,82.19
6,29,0.5840760449231681,82.27
6,30,0.5803784778562643,82.28
7,1,2.1080037921161976,42.89
7,2,1.5660668227632166,56.29
7,3,1.331248505640838,63.21
7,4,1.1881118669348247,66.81
7,5,1.0917082307702404,69.89
7,6,1.0211929355637501,71.47
7,7,0.9661006604210806,72.46
7,8,0.9241795681290708,73.5
7,9,0.8892705349598901,74.69
7,10,0.8606513688119791,74.86
7,11,0.8371667003227492,75.5
7,12,0.8166230795747143,76.04
7,13,0.7987884959932101,76.61
7,14,0.782746742337437,77.09
7,15,0.7689973439200449,77.16
7,16,0.757079466924829,77.52
7,17,0.7462024981692686,77.91
7,18,0.7357870390859701,77.82
7,19,0.7268744787927401,78.19
7,20,0.7181228439686662,78.26
7,21,0.7105756967754687,78.59
7,22,0.7036506351778062,78.67
7,23,0.697033348730055,78.96
7,24,0.6912776938939499,78.9
7,25,0.6854844507524522,78.75
7,26,0.6805378057188907,79.19
7,27,0.6745835421449047,79.25
7,28,0.6704576348854323,79.69
7,29,0.6660216531511081,79.64
7,30,0.6617495811591714,79.47
8,1,2.295403242111206,31.68
8,2,1.8146713830656924,45.52
8,3,1.5868169271339805,54.15
8,4,1.4400636664891646,59.23
8,5,1.335409798864591,62.43
8,6,1.2556126158116228,64.69
8,7,1.1935647483599388,66.31
8,8,1.1440440476950953,67.8
8,9,1.1029985981472468,67.89
8,10,1.067728477009272,69.49
8,11,1.038993705127199,69.69
8,12,1.0139028419882565,70.65
8,13,0.9913382580724813,71.09
8,14,0.9719308099504245,71.57
8,15,0.9544394127393173,72.14
8,16,0.9393266803127224,72.2
8,17,0.9254584130594286,72.61
8,18,0.9130917211710396,73.22
8,19,0.9015974220582994,73.22
8,20,0.8907515345993688,73.44
8,21,0.8802801885847318,73.7
8,22,0.8716920351578017,74.07
8,23,0.863876410460068,74.2
8,24,0.8558097259472992,74.43
8,25,0.8487369731321173,74.35
8,26,0.8415080733218435,74.77
8,27,0.8360808794781313,74.96
8,28,0.8291787050538144,74.92
8,29,0.8240951026900339,75.04
8,30,0.8185127943249072,75.27
classifier,1,4.3240668894880905,13.7
classifier,2,3.4975576724036266,17.15
classifier,3,3.0357175964420127,21.59
classifier,4,2.7730594085434737,24.71
classifier,5,2.5906105162733692,27.04
classifier,6,2.4476552413681807,28.97
classifier,7,2.3341263795303084,30.59
classifier,8,2.2400603698471846,32.08
classifier,9,2.160664263418165,33.49
classifier,10,2.0942457490048167,34.49
classifier,11,2.036972064082905,35.46
classifier,12,1.9865406266713546,36.54
classifier,13,1.9453158742290433,37.26
classifier,14,1.9075444391218281,37.81
classifier,15,1.8760126243203372,38.2
classifier,16,1.8485228287971627,38.86
classifier,17,1.8247883865388774,39.43
classifier,18,1.8033759270684193,39.92
classifier,19,1.7855454198384688,40.31
classifier,20,1.7695844597735648,40.66
classifier,21,1.7558758662918867,41.1
classifier,22,1.7435011015099995,41.43
classifier,23,1.7331237671738964,41.79
classifier,24,1.724211676646087,42.12
classifier,25,1.7157958341857134,42.28
classifier,26,1.7090015249737238,42.55
classifier,27,1.7022617469399661,42.54
classifier,28,1.6974104481228327,42.59
classifier,29,1.6916299916930118,42.65
classifier,30,1.6874694864628679,42.8
