epoch,train_loss,train_acc,test_loss,test_acc
10,0.10847813720658009,0.96965,0.20440615877461962,0.9467
20,0.058935702522235636,0.9859,0.1791868744376764,0.9553
30,0.03865217010000113,0.99225,0.16811701348434568,0.958
40,0.02772693555039574,0.9954833333333334,0.16384073180335137,0.9606
50,0.020886047993466925,0.9973166666666666,0.16093215415817155,0.961
60,0.016377370263428004,0.9983333333333333,0.1590049283415421,0.9619
70,0.013225626481422928,0.9988666666666667,0.15804534870025974,0.9631
80,0.010949230474878602,0.9993,0.15701359719416727,0.963
90,0.009259007650234902,0.9996166666666667,0.15653556694248633,0.9635
100,0.007994296251615482,0.9998,0.15593713723915878,0.9634
110,0.007001321817160463,0.99985,0.15565345320619253,0.9636
120,0.006205214614938222,0.9999,0.1554613097727776,0.9641
130,0.005562822772577199,0.9999333333333333,0.1551217149841434,0.9641
140,0.005022770304457227,0.99995,0.15513334543016133,0.9645
150,0.004575021686836649,0.9999666666666667,0.15486222278228018,0.9645
