epoch,train_loss,train_acc,test_loss,test_acc,fs_1shot_mean
1,6.874276855923482,0.0011929460580912864,6.871436933869297,0.001669195751138088,0.6331999829411507
10,5.95340806127384,0.04159751037344398,7.165160118954853,0.0015174506828528073,0.608799979686737
20,3.582425122229469,0.2821058091286307,9.396790939627342,0.0021244309559939304,0.6215999841690063
30,2.6901962425535086,0.42821576763485475,10.602359790246464,0.0021244309559939304,0.6247999857366086
40,2.169342082857296,0.5182572614107884,11.461973356969148,0.0018968133535660092,0.6115999871492386
50,1.786089053217149,0.600155601659751,12.117730464750123,0.0021244309559939304,0.6431999808549881
60,1.4742096473049644,0.6678941908713693,12.628794596033188,0.002655538694992413,0.6251999831199646
70,1.2340443781669566,0.7218879668049792,13.075339733975605,0.0024279210925644916,0.644399982392788
80,1.0264717443099876,0.7692946058091287,13.422241229455448,0.002503793626707132,0.6611999799311161
90,0.8651291242498436,0.8120331950207469,13.73943139048456,0.002731411229135053,0.6491999834775924
100,0.7286931738158725,0.8490145228215767,14.011662825797368,0.002655538694992413,0.6595999825000763
110,0.6167925302161287,0.8783713692946058,14.26656270258635,0.002883156297420334,0.6655999821424484
120,0.5242122946590777,0.9012448132780083,14.48462432565041,0.002731411229135053,0.6439999836683273
130,0.4516535559237398,0.9203319502074688,14.708280915195502,0.0030349013657056147,0.6643999862670898
140,0.39186502371402765,0.9368775933609959,14.87498209314439,0.0028072837632776935,0.6379999840259551
150,0.34239529961387055,0.9474585062240664,15.071834360511557,0.0031866464339908953,0.6751999813318252
