epoch,train_loss,train_acc,test_loss,test_acc,fs_1shot_mean
1,6.8734909272351805,0.0009854771784232365,6.871278276721251,0.00037936267071320183,0.6275999850034714
10,5.547949200434401,0.07110995850622406,7.364211758363594,0.0028072837632776935,0.5911999851465225
20,3.4107350245216823,0.3134336099585062,9.542867706817331,0.001669195751138088,0.6063999846577645
30,2.5801590373184506,0.45015560165975105,10.736570515678924,0.002503793626707132,0.6263999848067761
40,2.0958413098821578,0.5358921161825726,11.570426126128261,0.002276176024279211,0.6255999830365181
50,1.7337787301335115,0.6089730290456431,12.217243963074916,0.0022003034901365705,0.6455999830365181
60,1.4488562969182501,0.6703319502074688,12.70816552986219,0.002503793626707132,0.6343999834358692
70,1.2078625397966398,0.7276970954356846,13.108888792760164,0.002655538694992413,0.6151999831199646
80,1.0115261369983093,0.7772821576763486,13.462966067119709,0.002731411229135053,0.6615999835729599
90,0.8529830014468819,0.8143672199170124,13.758860134384006,0.002959028831562974,0.6383999840915203
100,0.7185671025554076,0.8505705394190871,14.023069140980544,0.0028072837632776935,0.6515999847650528
110,0.6093188719638926,0.8798755186721992,14.254931440631163,0.002883156297420334,0.6543999844789505
120,0.5203915121934272,0.9045643153526971,14.500177161207477,0.003338391502276176,0.6379999819397927
130,0.4519372600198582,0.9220435684647303,14.667974860922804,0.0031866464339908953,0.6607999858260155
140,0.39585045355045245,0.9368257261410788,14.868147100059732,0.0031107738998482548,0.6535999837517739
150,0.3497691945919138,0.9441908713692946,15.024247391710004,0.0031866464339908953,0.66039998203516
