epoch,train_loss,train_acc,test_loss,test_acc
10,0.2108279226695077,0.9624333333333334,3.3833037853240966,0.5563
20,0.030287338199756913,0.9984833333333333,3.2404799938201903,0.5728
30,0.014403953927300744,0.9999,3.180950331687927,0.5784
40,0.00979654825592445,0.99995,3.145182752609253,0.5828
50,0.007532281840567367,0.9999833333333333,3.118846082687378,0.5863
60,0.006177159247256942,1.0,3.0980283975601197,0.5881
70,0.005260076989435544,1.0,3.0809483766555785,0.5902
80,0.00459589974923154,1.0,3.066390323638916,0.5924
90,0.004089956598009093,1.0,3.0537895917892457,0.5945
100,0.003686493700685895,1.0,3.042561435699463,0.5956
110,0.003359546951981167,1.0,3.032397747039795,0.5966
120,0.003089451144244206,1.0,3.0233758449554444,0.5972
130,0.002861484455071011,1.0,3.01504008769989,0.598
140,0.002666255672288648,1.0,3.007306623458862,0.599
150,0.0024970858594623663,1.0,3.0002646684646606,0.6005
