epoch,train_loss,train_acc,test_loss,test_acc
10,0.11995031147686912,0.96645,0.2694826606879176,0.9342
20,0.0628266149718783,0.9847166666666667,0.2298822231263606,0.942
30,0.040448571044975505,0.9919833333333333,0.21539760321523121,0.9466
40,0.028564711334680252,0.9957166666666667,0.20624519100551245,0.9487
50,0.021425826121558512,0.99755,0.20075496270975593,0.9524
60,0.016774988287428357,0.9985166666666667,0.19646083611200704,0.9541
70,0.013590528287176194,0.9991166666666667,0.19367770546947052,0.9552
80,0.011319749377000688,0.9995,0.1915696078244246,0.9563
90,0.009647111643228862,0.9997166666666667,0.18979338427697592,0.9569
100,0.008381754680693562,0.9998,0.18848322731162026,0.9576
110,0.007392933525180797,0.9998833333333333,0.18735765406487603,0.9585
120,0.00661268050142967,0.99995,0.18651508196563565,0.9587
130,0.005976404486371002,0.9999833333333333,0.18565805417561426,0.9586
140,0.005444332909113022,1.0,0.18519837975594483,0.959
150,0.005002146984424704,1.0,0.1844460500649779,0.9592
