Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.5_g_3.0/GeneralMLP_LR0.001_BS1024_20260501_233001_s9
Overwriting weights with Heavy-Tailed Distribution (α=1.5, g=3.0)
Applying HT Init: alpha=1.5, g=3.0, seed=9
Epoch 0 | Train Acc: 0.0936 | Test Acc: 0.0911
Epoch 1 | Train Acc: 0.3379 | Test Acc: 0.4978
Epoch 2 | Train Acc: 0.5639 | Test Acc: 0.6106
Epoch 3 | Train Acc: 0.6522 | Test Acc: 0.6730
Epoch 4 | Train Acc: 0.6955 | Test Acc: 0.7086
Epoch 5 | Train Acc: 0.7323 | Test Acc: 0.7353
Epoch 6 | Train Acc: 0.7530 | Test Acc: 0.7547
Epoch 7 | Train Acc: 0.7749 | Test Acc: 0.7697
Epoch 8 | Train Acc: 0.7867 | Test Acc: 0.7832
Epoch 9 | Train Acc: 0.7934 | Test Acc: 0.7915
Epoch 10 | Train Acc: 0.8057 | Test Acc: 0.7983
Epoch 11 | Train Acc: 0.8175 | Test Acc: 0.8069
Epoch 12 | Train Acc: 0.8289 | Test Acc: 0.8143
Epoch 13 | Train Acc: 0.8333 | Test Acc: 0.8207
Epoch 14 | Train Acc: 0.8445 | Test Acc: 0.8248
Epoch 15 | Train Acc: 0.8523 | Test Acc: 0.8275
Epoch 16 | Train Acc: 0.8594 | Test Acc: 0.8357
Epoch 17 | Train Acc: 0.8681 | Test Acc: 0.8366
Epoch 18 | Train Acc: 0.8707 | Test Acc: 0.8400
Epoch 19 | Train Acc: 0.8708 | Test Acc: 0.8407
Epoch 20 | Train Acc: 0.8790 | Test Acc: 0.8411
Epoch 21 | Train Acc: 0.8788 | Test Acc: 0.8437
Epoch 22 | Train Acc: 0.8836 | Test Acc: 0.8451
Epoch 23 | Train Acc: 0.8909 | Test Acc: 0.8442
Epoch 24 | Train Acc: 0.8960 | Test Acc: 0.8480
Epoch 25 | Train Acc: 0.9028 | Test Acc: 0.8523
Epoch 26 | Train Acc: 0.9096 | Test Acc: 0.8513
Epoch 27 | Train Acc: 0.9102 | Test Acc: 0.8552
Epoch 28 | Train Acc: 0.9191 | Test Acc: 0.8554
Epoch 29 | Train Acc: 0.9230 | Test Acc: 0.8559
Epoch 30 | Train Acc: 0.9298 | Test Acc: 0.8560
Epoch 31 | Train Acc: 0.9359 | Test Acc: 0.8586
Epoch 32 | Train Acc: 0.9335 | Test Acc: 0.8617
Epoch 33 | Train Acc: 0.9396 | Test Acc: 0.8616
Epoch 34 | Train Acc: 0.9464 | Test Acc: 0.8609
Epoch 35 | Train Acc: 0.9538 | Test Acc: 0.8635
Epoch 36 | Train Acc: 0.9568 | Test Acc: 0.8606
Epoch 37 | Train Acc: 0.9618 | Test Acc: 0.8615
Epoch 38 | Train Acc: 0.9660 | Test Acc: 0.8661
Epoch 39 | Train Acc: 0.9699 | Test Acc: 0.8676
Epoch 40 | Train Acc: 0.9724 | Test Acc: 0.8650
Epoch 41 | Train Acc: 0.9729 | Test Acc: 0.8659
Epoch 42 | Train Acc: 0.9782 | Test Acc: 0.8662
Epoch 43 | Train Acc: 0.9782 | Test Acc: 0.8646
Epoch 44 | Train Acc: 0.9790 | Test Acc: 0.8651
Epoch 45 | Train Acc: 0.9869 | Test Acc: 0.8656
Epoch 46 | Train Acc: 0.9886 | Test Acc: 0.8677
Epoch 47 | Train Acc: 0.9898 | Test Acc: 0.8669
Epoch 48 | Train Acc: 0.9918 | Test Acc: 0.8675
Epoch 49 | Train Acc: 0.9940 | Test Acc: 0.8678
Epoch 50 | Train Acc: 0.9950 | Test Acc: 0.8659
Epoch 51 | Train Acc: 0.9960 | Test Acc: 0.8658
Epoch 52 | Train Acc: 0.9965 | Test Acc: 0.8656
Epoch 53 | Train Acc: 0.9966 | Test Acc: 0.8642
Epoch 54 | Train Acc: 0.9971 | Test Acc: 0.8652
Epoch 55 | Train Acc: 0.9973 | Test Acc: 0.8671
Epoch 56 | Train Acc: 0.9975 | Test Acc: 0.8666
Epoch 57 | Train Acc: 0.9977 | Test Acc: 0.8668
Epoch 58 | Train Acc: 0.9977 | Test Acc: 0.8657
Epoch 59 | Train Acc: 0.9979 | Test Acc: 0.8667
Epoch 60 | Train Acc: 0.9980 | Test Acc: 0.8664
Epoch 61 | Train Acc: 0.9981 | Test Acc: 0.8669
Epoch 62 | Train Acc: 0.9981 | Test Acc: 0.8670
Epoch 63 | Train Acc: 0.9984 | Test Acc: 0.8673
Epoch 64 | Train Acc: 0.9986 | Test Acc: 0.8675
Epoch 65 | Train Acc: 0.9986 | Test Acc: 0.8669
Epoch 66 | Train Acc: 0.9987 | Test Acc: 0.8675
Epoch 67 | Train Acc: 0.9988 | Test Acc: 0.8668
Epoch 68 | Train Acc: 0.9988 | Test Acc: 0.8671
Epoch 69 | Train Acc: 0.9989 | Test Acc: 0.8674
Epoch 70 | Train Acc: 0.9989 | Test Acc: 0.8675
Epoch 71 | Train Acc: 0.9990 | Test Acc: 0.8670
Epoch 72 | Train Acc: 0.9990 | Test Acc: 0.8674
Epoch 73 | Train Acc: 0.9991 | Test Acc: 0.8682
Epoch 74 | Train Acc: 0.9991 | Test Acc: 0.8680
Epoch 75 | Train Acc: 0.9991 | Test Acc: 0.8681
Epoch 76 | Train Acc: 0.9991 | Test Acc: 0.8689
