epoch,train_loss,train_acc,test_loss,test_acc
10,0.13798105379920017,0.9646166666666667,0.3428994098890431,0.9203
20,0.06050895486495642,0.9873666666666666,0.30576424547353215,0.9303
30,0.0343648547739553,0.9942833333333333,0.29510538514314477,0.9336
40,0.022432330039653506,0.9971,0.2871514852114517,0.937
50,0.015946294308137664,0.99845,0.28413155217672686,0.9393
60,0.011981712411473524,0.9992833333333333,0.28263015844977074,0.9396
70,0.009551627548542548,0.9996,0.2816285850661453,0.9398
80,0.007895165410980995,0.9997666666666667,0.2799435080599358,0.9414
90,0.006711278641189355,0.9998666666666667,0.27981887721895726,0.9425
100,0.0057929133200076725,0.9999333333333333,0.2805445359126794,0.9434
110,0.005140292266361924,0.9999333333333333,0.2805081868206764,0.9435
120,0.004627763575165352,0.9999833333333333,0.28022858099031994,0.9444
130,0.004206871440850579,0.9999833333333333,0.28043400637416427,0.9445
140,0.003860137306465539,0.9999833333333333,0.28065734847243934,0.945
150,0.00356630868239225,0.9999833333333333,0.2805633391364171,0.9454
