Logging initialized in: training_runs/mnist_mlp_sweep/alpha_1.5_g_3.0/GeneralMLP_LR0.001_BS1024_20260427_192857_s1
Overwriting weights with Heavy-Tailed Distribution (α=1.5, g=3.0)
Applying HT Init: alpha=1.5, g=3.0, seed=1
Epoch 0 | Train Acc: 0.1197 | Test Acc: 0.1204
Epoch 1 | Train Acc: 0.3972 | Test Acc: 0.5455
Epoch 2 | Train Acc: 0.5974 | Test Acc: 0.6497
Epoch 3 | Train Acc: 0.6726 | Test Acc: 0.7035
Epoch 4 | Train Acc: 0.7161 | Test Acc: 0.7382
Epoch 5 | Train Acc: 0.7500 | Test Acc: 0.7582
Epoch 6 | Train Acc: 0.7722 | Test Acc: 0.7788
Epoch 7 | Train Acc: 0.7865 | Test Acc: 0.7824
Epoch 8 | Train Acc: 0.7934 | Test Acc: 0.7916
Epoch 9 | Train Acc: 0.8058 | Test Acc: 0.8069
Epoch 10 | Train Acc: 0.8194 | Test Acc: 0.8127
Epoch 11 | Train Acc: 0.8309 | Test Acc: 0.8136
Epoch 12 | Train Acc: 0.8383 | Test Acc: 0.8247
Epoch 13 | Train Acc: 0.8439 | Test Acc: 0.8331
Epoch 14 | Train Acc: 0.8558 | Test Acc: 0.8430
Epoch 15 | Train Acc: 0.8646 | Test Acc: 0.8476
Epoch 16 | Train Acc: 0.8706 | Test Acc: 0.8510
Epoch 17 | Train Acc: 0.8780 | Test Acc: 0.8480
Epoch 18 | Train Acc: 0.8810 | Test Acc: 0.8549
Epoch 19 | Train Acc: 0.8842 | Test Acc: 0.8595
Epoch 20 | Train Acc: 0.8898 | Test Acc: 0.8624
Epoch 21 | Train Acc: 0.8938 | Test Acc: 0.8634
Epoch 22 | Train Acc: 0.9006 | Test Acc: 0.8656
Epoch 23 | Train Acc: 0.9017 | Test Acc: 0.8682
Epoch 24 | Train Acc: 0.9094 | Test Acc: 0.8713
Epoch 25 | Train Acc: 0.9127 | Test Acc: 0.8754
Epoch 26 | Train Acc: 0.9163 | Test Acc: 0.8729
Epoch 27 | Train Acc: 0.9194 | Test Acc: 0.8747
Epoch 28 | Train Acc: 0.9251 | Test Acc: 0.8764
Epoch 29 | Train Acc: 0.9267 | Test Acc: 0.8766
Epoch 30 | Train Acc: 0.9313 | Test Acc: 0.8813
Epoch 31 | Train Acc: 0.9348 | Test Acc: 0.8800
Epoch 32 | Train Acc: 0.9397 | Test Acc: 0.8814
Epoch 33 | Train Acc: 0.9442 | Test Acc: 0.8814
Epoch 34 | Train Acc: 0.9496 | Test Acc: 0.8836
Epoch 35 | Train Acc: 0.9517 | Test Acc: 0.8838
Epoch 36 | Train Acc: 0.9392 | Test Acc: 0.8845
Epoch 37 | Train Acc: 0.9386 | Test Acc: 0.8808
Epoch 38 | Train Acc: 0.9415 | Test Acc: 0.8809
Epoch 39 | Train Acc: 0.9467 | Test Acc: 0.8835
Epoch 40 | Train Acc: 0.9530 | Test Acc: 0.8874
Epoch 41 | Train Acc: 0.9581 | Test Acc: 0.8869
Epoch 42 | Train Acc: 0.9620 | Test Acc: 0.8870
Epoch 43 | Train Acc: 0.9609 | Test Acc: 0.8877
Epoch 44 | Train Acc: 0.9616 | Test Acc: 0.8902
Epoch 45 | Train Acc: 0.9681 | Test Acc: 0.8904
Epoch 46 | Train Acc: 0.9707 | Test Acc: 0.8918
Epoch 47 | Train Acc: 0.9730 | Test Acc: 0.8920
Epoch 48 | Train Acc: 0.9715 | Test Acc: 0.8900
Epoch 49 | Train Acc: 0.9789 | Test Acc: 0.8909
Epoch 50 | Train Acc: 0.9815 | Test Acc: 0.8921
Epoch 51 | Train Acc: 0.9833 | Test Acc: 0.8899
Epoch 52 | Train Acc: 0.9856 | Test Acc: 0.8905
Epoch 53 | Train Acc: 0.9878 | Test Acc: 0.8914
Epoch 54 | Train Acc: 0.9904 | Test Acc: 0.8929
Epoch 55 | Train Acc: 0.9905 | Test Acc: 0.8930
Epoch 56 | Train Acc: 0.9913 | Test Acc: 0.8918
Epoch 57 | Train Acc: 0.9934 | Test Acc: 0.8926
Epoch 58 | Train Acc: 0.9946 | Test Acc: 0.8920
Epoch 59 | Train Acc: 0.9956 | Test Acc: 0.8924
Epoch 60 | Train Acc: 0.9958 | Test Acc: 0.8923
Epoch 61 | Train Acc: 0.9944 | Test Acc: 0.8913
Epoch 62 | Train Acc: 0.9961 | Test Acc: 0.8913
Epoch 63 | Train Acc: 0.9956 | Test Acc: 0.8916
Epoch 64 | Train Acc: 0.9962 | Test Acc: 0.8935
Epoch 65 | Train Acc: 0.9969 | Test Acc: 0.8932
Epoch 66 | Train Acc: 0.9972 | Test Acc: 0.8931
Epoch 67 | Train Acc: 0.9971 | Test Acc: 0.8945
Epoch 68 | Train Acc: 0.9972 | Test Acc: 0.8923
Epoch 69 | Train Acc: 0.9969 | Test Acc: 0.8932
Epoch 70 | Train Acc: 0.9975 | Test Acc: 0.8932
Epoch 71 | Train Acc: 0.9979 | Test Acc: 0.8935
Epoch 72 | Train Acc: 0.9979 | Test Acc: 0.8938
Epoch 73 | Train Acc: 0.9978 | Test Acc: 0.8943
Epoch 74 | Train Acc: 0.9982 | Test Acc: 0.8931
Epoch 75 | Train Acc: 0.9984 | Test Acc: 0.8936
Epoch 76 | Train Acc: 0.9985 | Test Acc: 0.8947
Epoch 77 | Train Acc: 0.9986 | Test Acc: 0.8936
Epoch 78 | Train Acc: 0.9986 | Test Acc: 0.8944
Epoch 79 | Train Acc: 0.9987 | Test Acc: 0.8944
Epoch 80 | Train Acc: 0.9987 | Test Acc: 0.8942
Epoch 81 | Train Acc: 0.9988 | Test Acc: 0.8935
Epoch 82 | Train Acc: 0.9989 | Test Acc: 0.8943
Epoch 83 | Train Acc: 0.9990 | Test Acc: 0.8938
Epoch 84 | Train Acc: 0.9990 | Test Acc: 0.8939
Epoch 85 | Train Acc: 0.9990 | Test Acc: 0.8937
Epoch 86 | Train Acc: 0.9991 | Test Acc: 0.8937
Epoch 87 | Train Acc: 0.9992 | Test Acc: 0.8941
Epoch 88 | Train Acc: 0.9993 | Test Acc: 0.8947
Epoch 89 | Train Acc: 0.9993 | Test Acc: 0.8944
Epoch 90 | Train Acc: 0.9993 | Test Acc: 0.8941
Epoch 91 | Train Acc: 0.9993 | Test Acc: 0.8942
Epoch 92 | Train Acc: 0.9994 | Test Acc: 0.8944
Epoch 93 | Train Acc: 0.9994 | Test Acc: 0.8944
Epoch 94 | Train Acc: 0.9994 | Test Acc: 0.8949
Epoch 95 | Train Acc: 0.9994 | Test Acc: 0.8945
Epoch 96 | Train Acc: 0.9994 | Test Acc: 0.8935
Epoch 97 | Train Acc: 0.9994 | Test Acc: 0.8949
Epoch 98 | Train Acc: 0.9994 | Test Acc: 0.8945
Epoch 99 | Train Acc: 0.9994 | Test Acc: 0.8948
Epoch 100 | Train Acc: 0.9995 | Test Acc: 0.8951
Epoch 101 | Train Acc: 0.9995 | Test Acc: 0.8948
Epoch 102 | Train Acc: 0.9995 | Test Acc: 0.8948
Epoch 103 | Train Acc: 0.9996 | Test Acc: 0.8940
