displacement,effective_rank,ipr,participation_ratio,max_singular_val,hill_alpha,spectral_entropy,dominance_ratio,alpha,g,layer,run_name
0.02849872224032879,198.384521484375,0.003382547525689006,0.7201487421989441,5.966653823852539,11.080657958984375,6.163956165313721,0.002987972227856517,2.0,3.0,features.0.weight,GeneralMLP_LR0.001_BS128_20260228_143809_s0
0.024664251133799553,196.6195831298828,0.0034802143927663565,0.7200140953063965,5.989348411560059,11.322040557861328,6.163708686828613,0.003001636825501919,2.0,3.0,features.2.weight,GeneralMLP_LR0.001_BS128_20260228_143809_s0
0.021530479192733765,198.89883422851562,0.0038889963179826736,0.7200281620025635,5.966147422790527,11.034967422485352,6.164275646209717,0.0029843582306057215,2.0,3.0,features.4.weight,GeneralMLP_LR0.001_BS128_20260228_143809_s0
0.018978301435709,198.1757049560547,0.0037976677995175123,0.7194092273712158,5.970820903778076,11.17768669128418,6.162377834320068,0.0029910877346992493,2.0,3.0,features.6.weight,GeneralMLP_LR0.001_BS128_20260228_143809_s0
0.01653570495545864,8.556777954101562,0.003756790654733777,0.9974096417427063,9.695436477661133,36.87709426879883,2.2974207401275635,0.10824502259492874,2.0,3.0,classifier.weight,GeneralMLP_LR0.001_BS128_20260228_143809_s0
0.028065506368875504,198.438232421875,0.0036006567534059286,0.7196033000946045,5.968816757202148,11.209918975830078,6.163173198699951,0.0029887021519243717,2.0,3.0,features.0.weight,GeneralMLP_LR0.001_BS128_20260228_190447_s4
0.0239542368799448,202.91842651367188,0.003773365169763565,0.721524715423584,5.895813465118408,11.32669448852539,6.166219234466553,0.002951583592221141,2.0,3.0,features.2.weight,GeneralMLP_LR0.001_BS128_20260228_190447_s4
0.021149931475520134,202.3050994873047,0.0037774047814309597,0.7195033431053162,5.904204368591309,11.166313171386719,6.163201332092285,0.0029602060094475746,2.0,3.0,features.4.weight,GeneralMLP_LR0.001_BS128_20260228_190447_s4
0.018744248896837234,194.92417907714844,0.003824206069111824,0.7204791307449341,6.006227016448975,11.100478172302246,6.163701057434082,0.0030136876739561558,2.0,3.0,features.6.weight,GeneralMLP_LR0.001_BS128_20260228_190447_s4
0.016558656468987465,8.335525512695312,0.0039235735312104225,0.9963696599006653,9.733465194702148,21.270503997802734,2.2953262329101562,0.10972948372364044,2.0,3.0,classifier.weight,GeneralMLP_LR0.001_BS128_20260228_190447_s4
0.028118066489696503,198.77464294433594,0.0038792691193521023,0.7200815677642822,5.967578411102295,10.9984130859375,6.164322853088379,0.0029851789586246014,2.0,3.0,features.0.weight,GeneralMLP_LR0.001_BS128_20260228_164953_s2
0.024141620844602585,198.19923400878906,0.0038065235130488873,0.7194158434867859,5.970531940460205,11.168169021606445,6.162389755249023,0.00299089215695858,2.0,3.0,features.2.weight,GeneralMLP_LR0.001_BS128_20260228_164953_s2
0.021226249635219574,198.14219665527344,0.0036148610524833202,0.7195878028869629,5.973613262176514,11.230010986328125,6.163170337677002,0.0029909664299339056,2.0,3.0,features.4.weight,GeneralMLP_LR0.001_BS128_20260228_164953_s2
0.018565647304058075,202.9606475830078,0.0038182400166988373,0.7215027213096619,5.895079612731934,11.40394115447998,6.166186809539795,0.0029513216577470303,2.0,3.0,features.6.weight,GeneralMLP_LR0.001_BS128_20260228_164953_s2
0.016530076041817665,8.352438926696777,0.0035974914208054543,0.9964722394943237,9.669074058532715,28.933198928833008,2.295530319213867,0.10961265116930008,2.0,3.0,classifier.weight,GeneralMLP_LR0.001_BS128_20260228_164953_s2
0.02820628695189953,196.28587341308594,0.003528675762936473,0.7199169397354126,5.9942426681518555,11.23036003112793,6.163485527038574,0.003004391910508275,2.0,3.0,features.0.weight,GeneralMLP_LR0.001_BS128_20260228_155213_s1
0.02412121370434761,198.8310546875,0.0038929434958845377,0.720048725605011,5.967021465301514,11.045051574707031,6.164316654205322,0.0029848278500139713,2.0,3.0,features.2.weight,GeneralMLP_LR0.001_BS128_20260228_155213_s1
0.02106807939708233,198.1798858642578,0.0037715083453804255,0.7194116711616516,5.97095251083374,10.967937469482422,6.162431240081787,0.0029910486191511154,2.0,3.0,features.4.weight,GeneralMLP_LR0.001_BS128_20260228_155213_s1
0.018301505595445633,197.83274841308594,0.0035996907390654087,0.7195769548416138,5.97811222076416,11.280025482177734,6.163132667541504,0.0029933289624750614,2.0,3.0,features.6.weight,GeneralMLP_LR0.001_BS128_20260228_155213_s1
