step,task_0_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc,task_19_acc,task_idx,basis_rank_conv1.weight,basis_rank_conv2.weight,basis_rank_conv3.weight,basis_rank_fc1.weight,basis_rank_fc2.weight,total_basis_rank,var_total_conv1,var_total_conv2,var_total_conv3,var_total_fc1,var_total_fc2,var_proj_conv1,var_proj_conv2,var_proj_conv3,var_proj_fc1,var_proj_fc2,var_res_conv1,var_res_conv2,var_res_conv3,var_res_fc1,var_res_fc2
1170,0.692,0.16,0.2,0.174,0.196,0.206,0.266,0.176,0.234,0.174,0.26,0.172,0.204,0.186,0.204,0.176,0.244,0.198,0.236,0.204,0.0,10.0,103.0,207.0,232.0,294.0,846.0,107696.71875,457229.875,455869.15625,239827.09375,436108.40625,0.0,0.0,0.0,0.0,0.0,107696.71875,457229.875,455869.15625,239827.09375,436108.40625
2340,0.702,0.644,0.196,0.16,0.196,0.21,0.27,0.192,0.23,0.17,0.246,0.18,0.218,0.182,0.204,0.178,0.246,0.198,0.236,0.204,1.0,10.0,114.0,243.0,381.0,495.0,1243.0,90796.5078125,449105.6875,434703.6875,232973.921875,451953.78125,88286.203125,433745.75,416606.1875,209115.875,386693.75,2511.729248046875,15521.68359375,18256.359375,23799.134765625,65122.86328125
3510,0.702,0.642,0.648,0.162,0.194,0.216,0.278,0.192,0.228,0.18,0.248,0.178,0.218,0.174,0.202,0.18,0.248,0.196,0.238,0.2,2.0,10.0,114.0,248.0,466.0,622.0,1460.0,81552.7578125,443858.8125,448795.75,241209.984375,469868.75,79615.234375,430982.09375,434523.6875,225642.5,431518.75,1938.8330078125,12876.625,14272.0771484375,15567.498046875,38350.07421875
4680,0.706,0.654,0.668,0.652,0.202,0.214,0.274,0.194,0.228,0.198,0.254,0.172,0.23,0.198,0.196,0.18,0.23,0.194,0.226,0.206,3.0,10.0,114.0,252.0,528.0,722.0,1626.0,81543.453125,439345.5625,426174.71875,232304.28125,450781.15625,79697.1796875,426624.59375,412682.5625,220013.8125,421577.75,1847.54638671875,12720.908203125,13492.19921875,12290.4765625,29203.423828125
5850,0.68,0.62,0.658,0.654,0.596,0.212,0.266,0.202,0.22,0.202,0.252,0.186,0.226,0.188,0.198,0.182,0.224,0.2,0.23,0.212,4.0,11.0,132.0,267.0,576.0,799.0,1785.0,77627.8515625,417891.8125,425949.25,228536.46875,447772.21875,75153.875,401730.875,410215.5,217290.59375,422568.78125,2475.180908203125,16160.873046875,15733.7734375,11245.888671875,25203.498046875
7020,0.684,0.63,0.666,0.644,0.596,0.61,0.274,0.204,0.218,0.212,0.274,0.18,0.222,0.192,0.2,0.184,0.226,0.2,0.224,0.206,5.0,11.0,132.0,267.0,602.0,852.0,1864.0,90375.859375,431226.90625,434340.65625,237123.53125,450905.40625,88820.4765625,419675.75,421513.21875,227912.765625,430563.15625,1555.390625,11551.1162109375,12827.419921875,9210.787109375,20342.31640625
8190,0.678,0.618,0.672,0.638,0.598,0.606,0.672,0.206,0.214,0.21,0.264,0.182,0.22,0.188,0.204,0.188,0.212,0.2,0.22,0.21,6.0,11.0,132.0,267.0,619.0,889.0,1918.0,94825.59375,453640.0,435453.25,235606.1875,453353.9375,93097.6953125,441774.59375,422576.59375,227224.65625,435303.09375,1727.903076171875,11865.375,12876.6484375,8381.556640625,18050.890625
9360,0.664,0.602,0.66,0.636,0.572,0.624,0.672,0.58,0.22,0.214,0.26,0.186,0.218,0.18,0.206,0.186,0.21,0.194,0.228,0.204,7.0,11.0,138.0,282.0,645.0,933.0,2009.0,86471.2734375,439212.34375,430017.625,230442.78125,443947.75,84640.75,425037.75,414753.40625,221397.9375,425207.84375,1830.5302734375,14174.60546875,15264.2373046875,9044.8828125,18739.95703125
10530,0.646,0.588,0.654,0.59,0.56,0.616,0.672,0.56,0.73,0.21,0.262,0.186,0.222,0.186,0.212,0.19,0.206,0.192,0.212,0.202,8.0,11.0,138.0,282.0,645.0,939.0,2015.0,85949.8984375,447891.875,451774.84375,244419.5,475464.71875,84349.609375,435880.125,439568.09375,237233.25,460328.0625,1600.290771484375,12011.79296875,12206.76953125,7186.27392578125,15136.7099609375
11700,0.646,0.572,0.652,0.58,0.538,0.624,0.69,0.578,0.736,0.616,0.246,0.188,0.218,0.192,0.212,0.178,0.22,0.192,0.22,0.188,9.0,11.0,152.0,294.0,668.0,977.0,2102.0,88884.046875,458402.84375,441958.5,239453.0625,450977.5625,86453.8515625,442074.53125,426701.375,230235.375,432643.8125,2430.20654296875,16328.33203125,15257.123046875,9217.712890625,18333.822265625
12870,0.642,0.576,0.646,0.574,0.528,0.626,0.69,0.582,0.734,0.622,0.684,0.184,0.216,0.182,0.21,0.178,0.22,0.192,0.216,0.188,10.0,11.0,152.0,294.0,668.0,982.0,2107.0,92481.65625,454069.59375,436210.5625,238498.59375,462088.5,90665.015625,442424.125,424261.9375,231452.3125,447634.3125,1816.65234375,11645.515625,11948.564453125,7046.32080078125,14454.232421875
14040,0.638,0.552,0.628,0.56,0.516,0.586,0.686,0.568,0.738,0.636,0.686,0.636,0.214,0.184,0.2,0.186,0.204,0.184,0.202,0.192,11.0,11.0,160.0,299.0,680.0,1005.0,2155.0,84538.140625,431724.0625,431767.75,233724.46875,447224.125,82244.0390625,417517.78125,418029.25,225578.34375,430975.1875,2294.10791015625,14206.2861328125,13738.501953125,8146.138671875,16248.958984375
15210,0.632,0.546,0.638,0.554,0.518,0.582,0.682,0.572,0.74,0.642,0.688,0.64,0.674,0.186,0.2,0.182,0.204,0.19,0.208,0.19,12.0,11.0,160.0,299.0,681.0,1011.0,2162.0,94580.0625,452986.9375,445151.875,238792.4375,464240.3125,92657.390625,440764.875,432898.9375,231590.015625,449580.0,1922.6800537109375,12222.130859375,12252.96875,7202.42529296875,14660.326171875
16380,0.624,0.546,0.632,0.55,0.51,0.566,0.676,0.566,0.724,0.636,0.686,0.646,0.68,0.73,0.202,0.178,0.202,0.194,0.202,0.188,13.0,11.0,160.0,299.0,681.0,1011.0,2162.0,86367.0,462189.09375,452258.8125,245737.796875,489208.8125,84899.078125,451896.875,441873.125,239449.71875,476259.3125,1467.93212890625,10292.255859375,10385.6953125,6288.1220703125,12949.52734375
17550,0.608,0.526,0.626,0.526,0.498,0.552,0.668,0.558,0.71,0.642,0.686,0.636,0.676,0.738,0.686,0.172,0.208,0.188,0.224,0.174,14.0,11.0,161.0,302.0,686.0,1021.0,2181.0,105091.609375,492587.75,460908.3125,244785.859375,462191.6875,102475.0234375,477709.65625,446683.6875,236903.125,446894.96875,2616.59375,14878.13671875,14224.650390625,7882.763671875,15296.75
18720,0.586,0.534,0.616,0.48,0.486,0.562,0.644,0.522,0.672,0.616,0.662,0.6,0.682,0.728,0.686,0.792,0.228,0.178,0.224,0.18,15.0,11.0,161.0,302.0,687.0,1029.0,2190.0,91678.0234375,450949.25,433220.5625,245396.234375,472346.875,89902.15625,438686.9375,421390.15625,237698.1875,456233.6875,1775.880126953125,12262.322265625,11830.3984375,7698.04345703125,16113.19921875
19890,0.578,0.522,0.618,0.474,0.482,0.558,0.636,0.524,0.67,0.61,0.656,0.594,0.684,0.726,0.692,0.79,0.68,0.18,0.22,0.18,16.0,11.0,163.0,303.0,691.0,1038.0,2206.0,93217.46875,454376.125,436580.8125,241862.5,469758.4375,91202.6796875,440419.1875,423347.375,234193.28125,454493.5,2014.80322265625,13956.9580078125,13233.408203125,7669.2412109375,15265.013671875
21060,0.592,0.514,0.614,0.474,0.48,0.568,0.612,0.534,0.66,0.578,0.654,0.574,0.676,0.716,0.67,0.784,0.696,0.838,0.214,0.172,17.0,11.0,163.0,303.0,691.0,1038.0,2206.0,94470.1484375,483083.4375,454968.0,250905.59375,490434.375,92766.71875,471149.625,443719.625,244242.125,477106.3125,1703.450927734375,11933.892578125,11248.369140625,6663.50830078125,13328.0498046875
22230,0.56,0.518,0.618,0.462,0.484,0.568,0.606,0.556,0.634,0.576,0.638,0.574,0.654,0.712,0.676,0.778,0.706,0.84,0.746,0.174,18.0,11.0,165.0,304.0,694.0,1044.0,2218.0,116638.3359375,504674.375,466384.0625,251762.78125,485494.75,114272.7890625,489162.3125,452248.375,243613.96875,469469.0625,2365.5556640625,15512.140625,14135.693359375,8148.837890625,16025.6787109375
23400,0.556,0.518,0.616,0.454,0.47,0.578,0.598,0.548,0.632,0.542,0.634,0.562,0.658,0.706,0.664,0.784,0.698,0.84,0.754,0.732,19.0,11.0,165.0,304.0,694.0,1046.0,2220.0,86595.328125,471582.375,464241.875,256701.03125,491648.90625,84618.578125,458478.96875,451728.6875,249253.734375,476561.09375,1976.7603759765625,13103.451171875,12513.1640625,7447.322265625,15087.8388671875
