step,task_idx,epoch,epoch_loss,intra_task_acc
39,0.0,1.0,1.4221330972818227,0.5060000419616699
78,0.0,2.0,1.1896901512757325,0.5440000295639038
117,0.0,3.0,1.1420852007010045,0.5560000538825989
156,0.0,4.0,1.0991301582409785,0.5700000524520874
195,0.0,5.0,1.1028572947551043,0.5920000076293945
234,0.0,6.0,1.0219994477736645,0.5920000076293945
273,0.0,7.0,0.9995179283313262,0.6240000128746033
312,0.0,8.0,0.9971208312572577,0.5980000495910645
351,0.0,9.0,0.9488290349642435,0.6180000305175781
390,0.0,10.0,0.930070915283301,0.6140000224113464
429,0.0,11.0,0.934091818638337,0.6320000290870667
468,0.0,12.0,0.9049116449478345,0.6320000290870667
507,0.0,13.0,0.8941751107191428,0.6360000371932983
546,0.0,14.0,0.8795791390614632,0.6420000195503235
585,0.0,15.0,0.8637084456590506,0.64000004529953
624,0.0,16.0,0.8422056161440336,0.6520000100135803
663,0.0,17.0,0.8571057166808691,0.6540000438690186
702,0.0,18.0,0.8382731324587113,0.6500000357627869
741,0.0,19.0,0.8492578451450055,0.6580000519752502
780,0.0,20.0,0.8219336393551949,0.6440000534057617
819,0.0,21.0,0.7976934695855166,0.6680000424385071
858,0.0,22.0,0.8166922621237926,0.6720000505447388
897,0.0,23.0,0.7996116005457364,0.6760000586509705
936,0.0,24.0,0.7847224259987856,0.6760000586509705
975,0.0,25.0,0.7508087387451758,0.6980000138282776
1014,0.0,26.0,0.783293088277181,0.6820000410079956
1053,0.0,27.0,0.7696581039673243,0.6780000329017639
1092,0.0,28.0,0.7395811768678519,0.6840000152587891
1131,0.0,29.0,0.7401923705369998,0.6720000505447388
1170,0.0,30.0,0.7545208900402753,0.6800000071525574
1209,1.0,1.0,2.030001169595963,0.27400001883506775
1248,1.0,2.0,1.6673830289107103,0.3620000183582306
1287,1.0,3.0,1.5060355021403387,0.406000018119812
1326,1.0,4.0,1.4446537097295125,0.43400001525878906
1365,1.0,5.0,1.371093600224226,0.4480000138282776
1404,1.0,6.0,1.3126165591753447,0.47200003266334534
1443,1.0,7.0,1.2895846091783965,0.48600003123283386
1482,1.0,8.0,1.2774306963651607,0.5060000419616699
1521,1.0,9.0,1.218262574611566,0.5139999985694885
1560,1.0,10.0,1.2203041865275457,0.5200000405311584
1599,1.0,11.0,1.20199759495564,0.527999997138977
1638,1.0,12.0,1.189827792155437,0.5400000214576721
1677,1.0,13.0,1.1679264444571276,0.5520000457763672
1716,1.0,14.0,1.1641031152162797,0.5560000538825989
1755,1.0,15.0,1.1424474655053554,0.5660000443458557
1794,1.0,16.0,1.13712211449941,0.5600000023841858
1833,1.0,17.0,1.144737598223564,0.5600000023841858
1872,1.0,18.0,1.1356542706489563,0.5720000267028809
1911,1.0,19.0,1.1001654710525122,0.5760000348091125
1950,1.0,20.0,1.1009347484661982,0.578000009059906
1989,1.0,21.0,1.0936714181533227,0.5879999995231628
2028,1.0,22.0,1.084350294027573,0.5940000414848328
2067,1.0,23.0,1.0634239728634174,0.5920000076293945
2106,1.0,24.0,1.064982275168101,0.5960000157356262
2145,1.0,25.0,1.0343632514660175,0.5980000495910645
2184,1.0,26.0,1.0668345674490318,0.6040000319480896
2223,1.0,27.0,1.0431104317689552,0.6020000576972961
2262,1.0,28.0,1.053303096538935,0.6060000061988831
2301,1.0,29.0,1.0444489625784068,0.6080000400543213
2340,1.0,30.0,1.0204778558168657,0.612000048160553
2379,2.0,1.0,1.8982293116740692,0.3140000104904175
2418,2.0,2.0,1.5819141467412312,0.3720000088214874
2457,2.0,3.0,1.4509194172345674,0.4280000329017639
2496,2.0,4.0,1.3786426049012404,0.48000001907348633
2535,2.0,5.0,1.3396834073922572,0.5
2574,2.0,6.0,1.2699743478726118,0.534000039100647
2613,2.0,7.0,1.2270747973368719,0.5440000295639038
2652,2.0,8.0,1.2304406731556623,0.550000011920929
2691,2.0,9.0,1.1795619558065364,0.5580000281333923
2730,2.0,10.0,1.1904758214950562,0.5740000009536743
2769,2.0,11.0,1.1316247353186975,0.5680000185966492
2808,2.0,12.0,1.1165939875138111,0.5720000267028809
2847,2.0,13.0,1.1166784931451847,0.578000009059906
2886,2.0,14.0,1.1055708496998518,0.578000009059906
2925,2.0,15.0,1.105875307168716,0.5820000171661377
2964,2.0,16.0,1.0783148056421525,0.5879999995231628
3003,2.0,17.0,1.044180413087209,0.5820000171661377
3042,2.0,18.0,1.0580493884208875,0.5960000157356262
3081,2.0,19.0,1.0412307733144515,0.6000000238418579
3120,2.0,20.0,1.0556020125364647,0.6040000319480896
3159,2.0,21.0,1.0289443303377201,0.6060000061988831
3198,2.0,22.0,1.0122870390231793,0.6040000319480896
3237,2.0,23.0,1.0207863664015746,0.6100000143051147
3276,2.0,24.0,0.9943372439115475,0.612000048160553
3315,2.0,25.0,0.9977710812519758,0.6200000047683716
3354,2.0,26.0,0.988330113582122,0.6180000305175781
3393,2.0,27.0,0.9795156228236663,0.6160000562667847
3432,2.0,28.0,0.9723829963268378,0.6180000305175781
3471,2.0,29.0,0.9845298329989115,0.6180000305175781
3510,2.0,30.0,0.9444896548222272,0.6180000305175781
3549,3.0,1.0,1.9041738418432383,0.29200002551078796
3588,3.0,2.0,1.6817391316095989,0.34200000762939453
3627,3.0,3.0,1.5875771167950752,0.36000001430511475
3666,3.0,4.0,1.5286640020517201,0.38200002908706665
3705,3.0,5.0,1.4618041270818465,0.40800002217292786
3744,3.0,6.0,1.461080361635257,0.4280000329017639
3783,3.0,7.0,1.4014867055110443,0.43400001525878906
3822,3.0,8.0,1.4024028808642657,0.43800002336502075
3861,3.0,9.0,1.370896116281167,0.45600003004074097
3900,3.0,10.0,1.3583208505923932,0.47200003266334534
3939,3.0,11.0,1.3350786031820836,0.4780000150203705
3978,3.0,12.0,1.3129362846032167,0.47600001096725464
4017,3.0,13.0,1.3012249439190595,0.4820000231266022
4056,3.0,14.0,1.2899788159590502,0.49400001764297485
4095,3.0,15.0,1.2677431916579223,0.4960000216960907
