step,task_idx,epoch,epoch_loss,intra_task_acc
39,0.0,1.0,1.6323795899366722,0.550000011920929
78,0.0,2.0,1.1075801314451756,0.5720000267028809
117,0.0,3.0,1.0565681289403865,0.5860000252723694
156,0.0,4.0,1.0101037208850567,0.6160000562667847
195,0.0,5.0,0.9645400123718457,0.6200000047683716
234,0.0,6.0,0.9048787324856489,0.6200000047683716
273,0.0,7.0,0.867802789578071,0.6500000357627869
312,0.0,8.0,0.8629339811129447,0.6300000548362732
351,0.0,9.0,0.8546106204008445,0.6640000343322754
390,0.0,10.0,0.822094949392172,0.6340000033378601
429,0.0,11.0,0.8244469349200909,0.6760000586509705
468,0.0,12.0,0.8005212866342984,0.6860000491142273
507,0.0,13.0,0.7785956676189716,0.6760000586509705
546,0.0,14.0,0.7608103797985957,0.6880000233650208
585,0.0,15.0,0.743348668783139,0.6860000491142273
624,0.0,16.0,0.7243030117108271,0.6860000491142273
663,0.0,17.0,0.7366440861653059,0.6960000395774841
702,0.0,18.0,0.7340981173209655,0.6760000586509705
741,0.0,19.0,0.736469491934165,0.7120000123977661
780,0.0,20.0,0.6974005576891776,0.7020000219345093
819,0.0,21.0,0.6885334665958698,0.7040000557899475
858,0.0,22.0,0.6837875843048096,0.6920000314712524
897,0.0,23.0,0.6854565953597044,0.706000030040741
936,0.0,24.0,0.6731134683657916,0.7080000042915344
975,0.0,25.0,0.6384702141468341,0.7220000624656677
1014,0.0,26.0,0.6641848790339935,0.7160000205039978
1053,0.0,27.0,0.6433065984493647,0.7220000624656677
1092,0.0,28.0,0.6272116845999008,0.7300000190734863
1131,0.0,29.0,0.624798949712362,0.7280000448226929
1170,0.0,30.0,0.6152215271424024,0.6920000314712524
1209,1.0,1.0,3.919384406163142,0.3500000238418579
1248,1.0,2.0,2.6206084398122935,0.4520000219345093
1287,1.0,3.0,2.084026342783219,0.4820000231266022
1326,1.0,4.0,1.9964342575806837,0.49000000953674316
1365,1.0,5.0,1.7864202108138647,0.5320000052452087
1404,1.0,6.0,1.6371447550944793,0.5600000023841858
1443,1.0,7.0,1.5316200195214686,0.5680000185966492
1482,1.0,8.0,1.4622174745950944,0.5720000267028809
1521,1.0,9.0,1.4299208903924012,0.5800000429153442
1560,1.0,10.0,1.3788553537466588,0.5820000171661377
1599,1.0,11.0,1.3037575987669139,0.6020000576972961
1638,1.0,12.0,1.290431791391128,0.6060000061988831
1677,1.0,13.0,1.219396942701095,0.5920000076293945
1716,1.0,14.0,1.2645749877660701,0.6080000400543213
1755,1.0,15.0,1.2207849147992256,0.5980000495910645
1794,1.0,16.0,1.2068233016209724,0.5960000157356262
1833,1.0,17.0,1.1309621257659717,0.6000000238418579
1872,1.0,18.0,1.0799293044285896,0.6220000386238098
1911,1.0,19.0,1.0553213984538348,0.628000020980835
1950,1.0,20.0,1.1335869676027543,0.6220000386238098
1989,1.0,21.0,1.0341876286726732,0.6460000276565552
2028,1.0,22.0,1.0245443689517486,0.6420000195503235
2067,1.0,23.0,0.988086536908761,0.64000004529953
2106,1.0,24.0,0.9916320412586896,0.6340000033378601
2145,1.0,25.0,0.932290065747041,0.64000004529953
2184,1.0,26.0,0.9848364102534759,0.656000018119812
2223,1.0,27.0,0.9769491599156306,0.6500000357627869
2262,1.0,28.0,0.9735097961548047,0.656000018119812
