Logging initialized in: training_runs/mnist_mlp_sweep/alpha_1.2_g_0.25/GeneralMLP_LR0.001_BS1024_20260427_181514_s0
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=0.25)
Applying HT Init: alpha=1.2, g=0.25, seed=0
Epoch 0 | Train Acc: 0.1568 | Test Acc: 0.1610
Epoch 1 | Train Acc: 0.2082 | Test Acc: 0.2191
Epoch 2 | Train Acc: 0.2149 | Test Acc: 0.2137
Epoch 3 | Train Acc: 0.2135 | Test Acc: 0.2130
Epoch 4 | Train Acc: 0.2137 | Test Acc: 0.2119
Epoch 5 | Train Acc: 0.2165 | Test Acc: 0.2182
Epoch 6 | Train Acc: 0.2535 | Test Acc: 0.2900
Epoch 7 | Train Acc: 0.2964 | Test Acc: 0.3001
Epoch 8 | Train Acc: 0.3030 | Test Acc: 0.3023
Epoch 9 | Train Acc: 0.3036 | Test Acc: 0.3035
Epoch 10 | Train Acc: 0.3046 | Test Acc: 0.3043
Epoch 11 | Train Acc: 0.3057 | Test Acc: 0.3051
Epoch 12 | Train Acc: 0.3062 | Test Acc: 0.3057
Epoch 13 | Train Acc: 0.3067 | Test Acc: 0.3053
Epoch 14 | Train Acc: 0.3070 | Test Acc: 0.3062
Epoch 15 | Train Acc: 0.3081 | Test Acc: 0.3065
Epoch 16 | Train Acc: 0.3081 | Test Acc: 0.3072
Epoch 17 | Train Acc: 0.3079 | Test Acc: 0.3059
Epoch 18 | Train Acc: 0.3074 | Test Acc: 0.3059
Epoch 19 | Train Acc: 0.3092 | Test Acc: 0.3071
Epoch 20 | Train Acc: 0.3102 | Test Acc: 0.3086
Epoch 21 | Train Acc: 0.3234 | Test Acc: 0.3651
Epoch 22 | Train Acc: 0.3824 | Test Acc: 0.3899
Epoch 23 | Train Acc: 0.3932 | Test Acc: 0.3953
Epoch 24 | Train Acc: 0.3964 | Test Acc: 0.3958
Epoch 25 | Train Acc: 0.3981 | Test Acc: 0.3981
Epoch 26 | Train Acc: 0.3987 | Test Acc: 0.3992
Epoch 27 | Train Acc: 0.4006 | Test Acc: 0.3965
Epoch 28 | Train Acc: 0.4006 | Test Acc: 0.3991
Epoch 29 | Train Acc: 0.4011 | Test Acc: 0.4003
Epoch 30 | Train Acc: 0.4017 | Test Acc: 0.3959
Epoch 31 | Train Acc: 0.4017 | Test Acc: 0.4009
Epoch 32 | Train Acc: 0.4017 | Test Acc: 0.3998
Epoch 33 | Train Acc: 0.4024 | Test Acc: 0.4000
Epoch 34 | Train Acc: 0.4028 | Test Acc: 0.3994
Epoch 35 | Train Acc: 0.4030 | Test Acc: 0.4010
Epoch 36 | Train Acc: 0.4029 | Test Acc: 0.3994
Epoch 37 | Train Acc: 0.4037 | Test Acc: 0.4009
Epoch 38 | Train Acc: 0.4038 | Test Acc: 0.4004
Epoch 39 | Train Acc: 0.4042 | Test Acc: 0.4022
Epoch 40 | Train Acc: 0.4040 | Test Acc: 0.4000
Epoch 41 | Train Acc: 0.4037 | Test Acc: 0.3991
Epoch 42 | Train Acc: 0.4042 | Test Acc: 0.4015
Epoch 43 | Train Acc: 0.4044 | Test Acc: 0.4016
Epoch 44 | Train Acc: 0.4045 | Test Acc: 0.4017
Epoch 45 | Train Acc: 0.4047 | Test Acc: 0.4010
Epoch 46 | Train Acc: 0.4047 | Test Acc: 0.4024
Epoch 47 | Train Acc: 0.4052 | Test Acc: 0.4023
Epoch 48 | Train Acc: 0.4049 | Test Acc: 0.4001
Epoch 49 | Train Acc: 0.4048 | Test Acc: 0.4015
Epoch 50 | Train Acc: 0.4052 | Test Acc: 0.4007
Epoch 51 | Train Acc: 0.4056 | Test Acc: 0.4044
Epoch 52 | Train Acc: 0.4052 | Test Acc: 0.4026
Epoch 53 | Train Acc: 0.4054 | Test Acc: 0.4024
Epoch 54 | Train Acc: 0.4061 | Test Acc: 0.4030
Epoch 55 | Train Acc: 0.4058 | Test Acc: 0.4013
Epoch 56 | Train Acc: 0.4058 | Test Acc: 0.4033
Epoch 57 | Train Acc: 0.4059 | Test Acc: 0.4015
Epoch 58 | Train Acc: 0.4062 | Test Acc: 0.4027
Epoch 59 | Train Acc: 0.4063 | Test Acc: 0.4005
Epoch 60 | Train Acc: 0.4064 | Test Acc: 0.4024
Epoch 61 | Train Acc: 0.4069 | Test Acc: 0.4055
Epoch 62 | Train Acc: 0.4067 | Test Acc: 0.4053
Epoch 63 | Train Acc: 0.4070 | Test Acc: 0.4026
Epoch 64 | Train Acc: 0.4077 | Test Acc: 0.4059
Epoch 65 | Train Acc: 0.4084 | Test Acc: 0.4047
Epoch 66 | Train Acc: 0.4086 | Test Acc: 0.4041
Epoch 67 | Train Acc: 0.4095 | Test Acc: 0.4045
Epoch 68 | Train Acc: 0.4108 | Test Acc: 0.4098
Epoch 69 | Train Acc: 0.4137 | Test Acc: 0.4106
Epoch 70 | Train Acc: 0.4192 | Test Acc: 0.4342
Epoch 71 | Train Acc: 0.4315 | Test Acc: 0.4461
Epoch 72 | Train Acc: 0.4488 | Test Acc: 0.4576
